fipe_cod,tabela_id,anoref,mesref,tipo,marca_id,marca,modelo_id,modelo,anomod,comb_cod,comb_sigla,comb,valor
007006-8,311,2024,7,1,5,Asia Motors,40,Towner SDX / DLX/ STD,1994,1,G,Gasolina,4984
007007-6,311,2024,7,1,5,Asia Motors,42,Towner Truck,1993,1,G,Gasolina,4095
008007-1,311,2024,7,1,6,Audi,69,A4 1.8  Mec.,1996,1,G,Gasolina,14209
008036-5,311,2024,7,1,6,Audi,88,A4 2.8 Avant V6 12V,1997,1,G,Gasolina,20715
008201-5,311,2024,7,1,6,Audi,7255,Q3 1.4 TFSI/TFSI Flex S-tronic 5p,2019,1,G,Gasolina,121866
008238-4,311,2024,7,1,6,Audi,8584,Q5 Prestige 2.0 TFSI Quattro S tronic,2019,1,G,Gasolina,181951
008141-8,311,2024,7,1,6,Audi,5128,TTS 2.0 TFSI QUATTRO S Tronic,2011,1,G,Gasolina,164329
009258-4,311,2024,7,1,7,BMW,8946,118i Sport 1.5 TB 12V Aut. 5p,2020,1,G,Gasolina,157110
009025-5,311,2024,7,1,7,BMW,207,540iA,1997,1,G,Gasolina,40810
009073-5,311,2024,7,1,7,BMW,232,M3 3.2 24V,2000,1,G,Gasolina,63567
009227-4,311,2024,7,1,7,BMW,9797,X3 M40i 3.0 Turbo V6  Aut.,2019,1,G,Gasolina,304493
073029-7,311,2024,7,1,161,Caoa Chery/Chery,9162,Tiggo 8 TXS 1.6 16V TGDi Aut.,2021,1,G,Gasolina,138781
064003-4,311,2024,7,1,136,CHANA,4394,Cargo CE 1.0 8V 53cv (Pick-Up),2006,1,G,Gasolina,9869
031051-4,311,2024,7,1,20,Ferrari,9528,Roma 3.9 V8 620cv,2021,1,G,Gasolina,2952091
001302-1,311,2024,7,1,21,Fiat,5105,Doblo  Cargo 1.4 mpi Fire Flex 8V 3p,2011,1,G,Gasolina,33220
001328-5,311,2024,7,1,21,Fiat,5340,Idea ATTRACTIVE 1.4 Fire Flex 8V 5p,2011,1,G,Gasolina,29159
001066-9,311,2024,7,1,21,Fiat,519,Palio ELX 1.0/ 1.0 Fire Flex 8V 2p,2011,1,G,Gasolina,22993
001066-9,311,2024,7,1,21,Fiat,519,Palio ELX 1.0/ 1.0 Fire Flex 8V 2p,2010,1,G,Gasolina,22033
001066-9,311,2024,7,1,21,Fiat,519,Palio ELX 1.0/ 1.0 Fire Flex 8V 2p,2008,1,G,Gasolina,19182
001066-9,311,2024,7,1,21,Fiat,519,Palio ELX 1.0/ 1.0 Fire Flex 8V 2p,1999,1,G,Gasolina,9165
001324-2,311,2024,7,1,21,Fiat,5293,Palio ESSENCE 1.6 Flex 16V 5p,2012,1,G,Gasolina,30646
001315-3,311,2024,7,1,21,Fiat,5272,Palio Week. ATTRACTIVE 1.4 Fire Flex 8V,2013,1,G,Gasolina,34800
001391-9,311,2024,7,1,21,Fiat,6096,Strada Working Celeb.1.4 Fire Flex 8V CD,2010,1,G,Gasolina,41779
001046-4,311,2024,7,1,21,Fiat,647,Uno Mille 1.0/ i.e./Electronic/Brio 2p,1990,1,G,Gasolina,5248
001018-9,311,2024,7,1,21,Fiat,649,Uno Mille/ Mille EX/ Smart 2p,1997,1,G,Gasolina,6763
003140-2,311,2024,7,1,22,Ford,670,Courier XL/XL-RS 1.6/ XL 1.6 Flex,2009,1,G,Gasolina,33108
003140-2,311,2024,7,1,22,Ford,670,Courier XL/XL-RS 1.6/ XL 1.6 Flex,2002,1,G,Gasolina,20626
003320-0,311,2024,7,1,22,Ford,4257,EcoSport XLT 2.0/ 2.0 Flex 16V 5p Aut.,2006,1,G,Gasolina,25593
003074-0,311,2024,7,1,22,Ford,717,Explorer XLT 4x4 4.0 V6,1993,1,G,Gasolina,21395
003163-1,311,2024,7,1,22,Ford,724,F-1000 CD/Blazer 3.9 Dies.,1989,3,D,Diesel,58979
003355-3,311,2024,7,1,22,Ford,6032,F-250 Tropica./Tropmine Exec. 3.9 Diesel,2007,3,D,Diesel,110999
003311-1,311,2024,7,1,22,Ford,4136,Fiesta Sedan 1.0 8V Flex 4p,2007,1,G,Gasolina,18823
003228-0,311,2024,7,1,22,Ford,798,Focus 2.0 16V/ 2.0 16V Flex 5p,2001,1,G,Gasolina,12016
003282-4,311,2024,7,1,22,Ford,807,Focus Sedan 2.0 16V/2.0 16V Flex 4p Aut.,2010,1,G,Gasolina,31000
003282-4,311,2024,7,1,22,Ford,807,Focus Sedan 2.0 16V/2.0 16V Flex 4p Aut.,2004,1,G,Gasolina,17352
003054-6,311,2024,7,1,22,Ford,845,Pampa L 1.6,1995,2,Á,Álcool,11585
003054-6,311,2024,7,1,22,Ford,845,Pampa L 1.6,1988,1,G,Gasolina,7084
003276-0,311,2024,7,1,22,Ford,875,Ranger XLS 2.3 16V 145cv/150cv 4x2 CD,2007,1,G,Gasolina,43891
004023-1,311,2024,7,1,23,GM - Chevrolet,930,A-20 Custom/ C-20 S 4.1,1992,1,G,Gasolina,14267
004023-1,311,2024,7,1,23,GM - Chevrolet,930,A-20 Custom/ C-20 S 4.1,1986,1,G,Gasolina,9824
004084-3,311,2024,7,1,23,GM - Chevrolet,9629,Astra Sedan GL 1.8 MPFI 4p,2001,1,G,Gasolina,15220
004129-7,311,2024,7,1,23,GM - Chevrolet,975,C-20 Custom De Luxe 4.1,1991,1,G,Gasolina,23775
004131-9,311,2024,7,1,23,GM - Chevrolet,976,C-20 Custom De Luxe CD 4.1,1989,1,G,Gasolina,20995
004137-8,311,2024,7,1,23,GM - Chevrolet,988,Caravan L/SL/S/SS 2.5/4.1/4.2,1986,1,G,Gasolina,4757
