fipe_cod,tabela_id,anoref,mesref,tipo,marca_id,marca,modelo_id,modelo,anomod,comb_cod,comb_sigla,comb,valor
060003-2,317,2025,1,1,2,Agrale,4564,MARRUÁ AM 100 2.8  CS TDI Diesel,2008,3,D,Diesel,45852
060007-5,317,2025,1,1,2,Agrale,4568,MARRUÁ AM 200 2.8 CS TDI Diesel,2016,3,D,Diesel,129383
060007-5,317,2025,1,1,2,Agrale,4568,MARRUÁ AM 200 2.8 CS TDI Diesel,2009,3,D,Diesel,58056
006007-0,317,2025,1,1,3,Alfa Romeo,20,Spider 2.0/3.0,1992,1,G,Gasolina,32525
007001-7,317,2025,1,1,5,Asia Motors,26,Hi-Topic SLX/SDX/DLX Full Diesel,1998,3,D,Diesel,15631
007014-9,317,2025,1,1,5,Asia Motors,31,Topic Luxo Diesel,1999,3,D,Diesel,16056
007014-9,317,2025,1,1,5,Asia Motors,31,Topic Luxo Diesel,1998,3,D,Diesel,15157
007014-9,317,2025,1,1,5,Asia Motors,31,Topic Luxo Diesel,1997,3,D,Diesel,12877
007015-7,317,2025,1,1,5,Asia Motors,32,Topic Super Luxo Diesel,1999,3,D,Diesel,19981
007015-7,317,2025,1,1,5,Asia Motors,32,Topic Super Luxo Diesel,1998,3,D,Diesel,15449
007015-7,317,2025,1,1,5,Asia Motors,32,Topic Super Luxo Diesel,1997,3,D,Diesel,14798
007015-7,317,2025,1,1,5,Asia Motors,32,Topic Super Luxo Diesel,1996,3,D,Diesel,13016
007003-3,317,2025,1,1,5,Asia Motors,33,Towner Coach Full,1998,1,G,Gasolina,6490
007003-3,317,2025,1,1,5,Asia Motors,33,Towner Coach Full,1997,1,G,Gasolina,6142
007003-3,317,2025,1,1,5,Asia Motors,33,Towner Coach Full,1996,1,G,Gasolina,5862
007003-3,317,2025,1,1,5,Asia Motors,33,Towner Coach Full,1995,1,G,Gasolina,5719
007009-2,317,2025,1,1,5,Asia Motors,34,Towner Furgão,1999,1,G,Gasolina,6000
008002-0,317,2025,1,1,6,Audi,49,80 2.6/2.8 Avant,1994,1,G,Gasolina,22606
008074-8,317,2025,1,1,6,Audi,61,A3 1.8 Turbo 180cv 3p Mec.,2000,1,G,Gasolina,17828
008045-4,317,2025,1,1,6,Audi,66,A3 1.8 Turbo 5p Aut.,2002,1,G,Gasolina,25588
008044-6,317,2025,1,1,6,Audi,67,A3 1.8 Turbo 5p Mec.,2002,1,G,Gasolina,22692
008275-9,317,2025,1,1,6,Audi,9964,A3 Sportb. Perf. Black 2.0 S-tron.(Híb.),2022,1,G,Gasolina,231082
008047-0,317,2025,1,1,6,Audi,68,A4 1.8  Aut.,1995,1,G,Gasolina,12952
008070-5,317,2025,1,1,6,Audi,75,A4 1.8 Turbo,1995,1,G,Gasolina,13141
008208-2,317,2025,1,1,6,Audi,7656,A4 Attraction 2.0 TFSI 190cv S tronic,2017,1,G,Gasolina,98449
008068-3,317,2025,1,1,6,Audi,110,A6 2.7 Avant Quattro Tiptronic,2001,1,G,Gasolina,40790
008159-0,317,2025,1,1,6,Audi,6044,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2014,1,G,Gasolina,83253
008304-6,317,2025,1,1,6,Audi,11135,Q3 Perf. Black.Plus 2.0 TFSI Tip. Quat.,32000,1,G,Gasolina,375490
008304-6,317,2025,1,1,6,Audi,11135,Q3 Perf. Black.Plus 2.0 TFSI Tip. Quat.,2025,1,G,Gasolina,334186
008304-6,317,2025,1,1,6,Audi,11135,Q3 Perf. Black.Plus 2.0 TFSI Tip. Quat.,2024,1,G,Gasolina,323689
008284-8,317,2025,1,1,6,Audi,9871,Q3 Performance 2.0 TFSI Tiptr. Quattro,32000,1,G,Gasolina,338192
008284-8,317,2025,1,1,6,Audi,9871,Q3 Performance 2.0 TFSI Tiptr. Quattro,2025,1,G,Gasolina,314521
008284-8,317,2025,1,1,6,Audi,9871,Q3 Performance 2.0 TFSI Tiptr. Quattro,2024,1,G,Gasolina,305103
008284-8,317,2025,1,1,6,Audi,9871,Q3 Performance 2.0 TFSI Tiptr. Quattro,2023,1,G,Gasolina,259576
008284-8,317,2025,1,1,6,Audi,9871,Q3 Performance 2.0 TFSI Tiptr. Quattro,2022,1,G,Gasolina,241122
008227-9,317,2025,1,1,6,Audi,8568,Q3 Prest. 1.4 TFSI Flex/Prest. S-tronic,2022,1,G,Gasolina,218670
008227-9,317,2025,1,1,6,Audi,8568,Q3 Prest. 1.4 TFSI Flex/Prest. S-tronic,2021,1,G,Gasolina,182788
008227-9,317,2025,1,1,6,Audi,8568,Q3 Prest. 1.4 TFSI Flex/Prest. S-tronic,2020,1,G,Gasolina,159052
008227-9,317,2025,1,1,6,Audi,8568,Q3 Prest. 1.4 TFSI Flex/Prest. S-tronic,2019,1,G,Gasolina,116975
008238-4,317,2025,1,1,6,Audi,8584,Q5 Prestige 2.0 TFSI Quattro S tronic,2020,1,G,Gasolina,176311
008155-8,317,2025,1,1,6,Audi,5550,R8 Spyder 5.2 Quattro R-tronic/S-tronic,2010,1,G,Gasolina,586897
008066-7,317,2025,1,1,6,Audi,133,S3 1.8 225cv Turbo Quattro,2000,1,G,Gasolina,62965
008126-4,317,2025,1,1,6,Audi,4330,TT 2.0 16v TFSI S-Tronic,2013,1,G,Gasolina,151472
008126-4,317,2025,1,1,6,Audi,4330,TT 2.0 16v TFSI S-Tronic,2008,1,G,Gasolina,120621
008176-0,317,2025,1,1,6,Audi,6258,TTRS 2.5 TFSI QUATTRO S Tronic,2013,1,G,Gasolina,265673
008142-6,317,2025,1,1,6,Audi,5129,TTS Roadster 2.0 TB FSI Quattro S Tronic,2014,1,G,Gasolina,208384
008142-6,317,2025,1,1,6,Audi,5129,TTS Roadster 2.0 TB FSI Quattro S Tronic,2011,1,G,Gasolina,169158
040002-5,317,2025,1,1,207,Baby,8275,Buggy 1.6/ TST/ RS 1.6 4-Lug.,2025,1,G,Gasolina,54867
040002-5,317,2025,1,1,207,Baby,8275,Buggy 1.6/ TST/ RS 1.6 4-Lug.,2022,1,G,Gasolina,40992
040002-5,317,2025,1,1,207,Baby,8275,Buggy 1.6/ TST/ RS 1.6 4-Lug.,2012,1,G,Gasolina,17815
040002-5,317,2025,1,1,207,Baby,8275,Buggy 1.6/ TST/ RS 1.6 4-Lug.,2007,1,G,Gasolina,8944
040002-5,317,2025,1,1,207,Baby,8275,Buggy 1.6/ TST/ RS 1.6 4-Lug.,1997,1,G,Gasolina,4951
040002-5,317,2025,1,1,207,Baby,8275,Buggy 1.6/ TST/ RS 1.6 4-Lug.,1989,1,G,Gasolina,3338
009159-6,317,2025,1,1,7,BMW,5923,118iA/ Urban/Sport 1.6 TB 16V 170cv 5p,2013,1,G,Gasolina,72726
009105-7,317,2025,1,1,7,BMW,153,120iA 2.0 16V 150cv/ 156cv 5p,2008,1,G,Gasolina,48816
009176-6,317,2025,1,1,7,BMW,6377,125i M Sport/Active Flex 2.0 TB Aut. 5p,2014,1,G,Gasolina,114312
009059-0,317,2025,1,1,7,BMW,154,316 (todas),1987,1,G,Gasolina,8927
009039-5,317,2025,1,1,7,BMW,162,320iA,2007,1,G,Gasolina,58773
009039-5,317,2025,1,1,7,BMW,162,320iA,1993,1,G,Gasolina,17294
009036-0,317,2025,1,1,7,BMW,181,325iA,2006,1,G,Gasolina,59468
009036-0,317,2025,1,1,7,BMW,181,325iA,1995,1,G,Gasolina,43272
009036-0,317,2025,1,1,7,BMW,181,325iA,1989,1,G,Gasolina,13813
009091-3,317,2025,1,1,7,BMW,183,325iA Coupé 2.5 24V 2p,2001,1,G,Gasolina,42272
009034-4,317,2025,1,1,7,BMW,185,328i Touring/Sport,1996,1,G,Gasolina,31776
009240-1,317,2025,1,1,7,BMW,8630,330i M Sport 2.0 TB 16V 4p,2020,1,G,Gasolina,228851
009240-1,317,2025,1,1,7,BMW,8630,330i M Sport 2.0 TB 16V 4p,2019,1,G,Gasolina,223269
009092-1,317,2025,1,1,7,BMW,193,330i MotorSport 3.0 24V 4p,2003,1,G,Gasolina,62158
009092-1,317,2025,1,1,7,BMW,193,330i MotorSport 3.0 24V 4p,2002,1,G,Gasolina,60641
009092-1,317,2025,1,1,7,BMW,193,330i MotorSport 3.0 24V 4p,2001,1,G,Gasolina,58893
009244-4,317,2025,1,1,7,BMW,8688,330i Sport 2.0 TB 16V 4p,2020,1,G,Gasolina,224153
009244-4,317,2025,1,1,7,BMW,8688,330i Sport 2.0 TB 16V 4p,2019,1,G,Gasolina,218685
009113-8,317,2025,1,1,7,BMW,3956,330iA Exclusive 3.0 24V 4p,2006,1,G,Gasolina,46264
009088-3,317,2025,1,1,7,BMW,194,330iA MotorSport 4p,2007,1,G,Gasolina,79780
009088-3,317,2025,1,1,7,BMW,194,330iA MotorSport 4p,2006,1,G,Gasolina,72405
009028-0,317,2025,1,1,7,BMW,222,750iA,2007,1,G,Gasolina,120119
009028-0,317,2025,1,1,7,BMW,222,750iA,1995,1,G,Gasolina,31077
095015-7,317,2025,1,1,238,BYD,11199,Yuan Pro (Elétrico),2025,1,G,Gasolina,162382
094001-1,317,2025,1,1,236,CAB Motors,9561,Stark Mountaim 2.3 AWD TDI Diesel 3p,32000,3,D,Diesel,275000
094001-1,317,2025,1,1,236,CAB Motors,9561,Stark Mountaim 2.3 AWD TDI Diesel 3p,2022,3,D,Diesel,199393
