,modelo_id,modelo,marca,comb,version,engine,category,transmission_type,doors,hp,valves
1323,1539,500-SEL 5.0/ 5.6,Mercedes-Benz,Gasolina,5.0,,,,,,
1325,9166,A-45  S AMG 4MATIC CGI 2.0 TB Aut.,Mercedes-Benz,Gasolina,2.0,,,Auto,,,
1326,6928,C-180 CGI Avant. 1.6/1.6 FlexTB 16V Aut.,Mercedes-Benz,Gasolina,1.6,Flex,MPV,Auto,,,16
1327,7957,C-180 CGI Coupe Avant. 1.6 TB 16V Aut.,Mercedes-Benz,Gasolina,1.6,Other,Coupe,Auto,,,16
1328,6929,C-180 CGI Exc. 1.6/1.6 Flex TB 16V  Aut.,Mercedes-Benz,Gasolina,1.6,Flex,,Auto,,,16
1329,6357,C-180 CGI Touring Sport 1.6 TB Aut.,Mercedes-Benz,Gasolina,1.6,,Sport,Auto,,,
1331,1541,C-180 Classic/Classic Plus/Elegance,Mercedes-Benz,Gasolina,,,,,,,
1341,5213,C-180 Kompressor Classic 1.6 16V Aut.,Mercedes-Benz,Gasolina,1.6,Other,,Auto,,,16
1343,5307,C-200 CGI Avantgarde 1.8 16V 184cv Aut.,Mercedes-Benz,Gasolina,1.8,Other,MPV,Auto,,1,16
1344,1550,C-230 Sport/ Eleg./Touring Eleg.Plus 2.3,Mercedes-Benz,Gasolina,2.3,,Sport,,,,
1345,1554,C-240 Elegance 2.4,Mercedes-Benz,Gasolina,2.4,,,,,,
1346,1556,C-280 Classic/Sport,Mercedes-Benz,Gasolina,,,Sport,,,,
1348,1559,C-320 AvantGarde 3.2 V6 24v 4p Aut.,Mercedes-Benz,Gasolina,3.2,V6/V8,MPV,Auto,4,,
1349,1561,C-320 Touring 3.2 V6 18v 4p Aut.,Mercedes-Benz,Gasolina,3.2,V6/V8,,Auto,4,,
1350,7738,C-43 Coupe AMG 3.0 V6 Bi-Turbo Aut.,Mercedes-Benz,Gasolina,3.0,V6/V8,Coupe,Auto,,,
1351,7620,C-63 AMG 4.0 V8 Bi-Turbo Aut.,Mercedes-Benz,Gasolina,4.0,V6/V8,,Auto,,,
1352,7837,C-63 S Coupe AMG 4.0 V8  Bi-Turbo Aut.,Mercedes-Benz,Gasolina,4.0,V6/V8,Coupe,Auto,,,
1353,9679,CL-65 AMG 6.0 V12 Aut.,Mercedes-Benz,Gasolina,6.0,Other,,Auto,,,
1354,6965,CLA-200 Urban 1.6 TB 16V/Flex Aut.,Mercedes-Benz,Gasolina,1.6,Other,,Auto,,,16
1355,6867,CLA-45 AMG 4MATIC CGI 2.0 TB Aut.,Mercedes-Benz,Gasolina,2.0,,,Auto,,,
1356,1566,Classe A 160 Classic Semi-Aut.,Mercedes-Benz,Gasolina,,,,Auto,,,
1357,1567,Classe A 160 Classic/ Spirit Mec.,Mercedes-Benz,Gasolina,,,,Manual,,,
1358,1571,Classe A 190 AvantGarde 1.9 8V 125cv Mec,Mercedes-Benz,Gasolina,1.9,Other,MPV,Manual,,1,8
1359,1574,Classe A 190 Elegance 1.9 Aut.,Mercedes-Benz,Gasolina,1.9,,,Auto,,,
1360,3829,Classe A 200 Elegance 2.0 136cv Aut.,Mercedes-Benz,Gasolina,2.0,,,Auto,,1,
1361,4202,Classe B 200 2.0 Turbo 193cv Aut.,Mercedes-Benz,Gasolina,2.0,Turbo,,Auto,,1,
1362,1579,CLK-230 Kompressor,Mercedes-Benz,Gasolina,,,,,,,
1363,3896,CLK-350 Avant./Eleg. Cabriolet 3.5 272cv,Mercedes-Benz,Gasolina,3.5,,MPV,,,2,
1364,1593,CLK-55 AMG Cabriolet V8 24v 367cv,Mercedes-Benz,Gasolina,,V6/V8,,,,3,
1365,5746,CLS-350 CGI 3.5 306cv Aut.,Mercedes-Benz,Gasolina,3.5,,,Auto,,3,
1366,1595,CLS-500 V8 24V,Mercedes-Benz,Gasolina,,V6/V8,,,,,24
1367,5593,CLS-63 AMG 5.5 V8 557cv Aut.,Mercedes-Benz,Gasolina,5.5,V6/V8,,Auto,,5,
1368,1601,E-240 Elegance,Mercedes-Benz,Gasolina,,,,,,,
1369,8782,E-300 Exclusive 2.0 TB 258cv Aut.,Mercedes-Benz,Gasolina,2.0,,,Auto,,2,
1370,1605,E-320 3.2 Elegance,Mercedes-Benz,Gasolina,3.2,,,,,,
1372,1606,E-320 Avantgarde,Mercedes-Benz,Gasolina,,,MPV,,,,
1374,1615,E-430 Elegance,Mercedes-Benz,Gasolina,,,,,,,
1375,4774,E-500 Avant. 5.0 V8 4p Aut. (Blindada),Mercedes-Benz,Gasolina,5.0,V6/V8,MPV,Auto,4,,
1376,1617,E-500 Elegance/ Avant. 5.0 V8 24V 4p Aut,Mercedes-Benz,Gasolina,5.0,V6/V8,MPV,Auto,4,,24
1378,1618,E-500 Tour. Avant./ Eleg. 24V V8 5p Aut.,Mercedes-Benz,Gasolina,,V6/V8,MPV,Auto,5,,24
1379,1619,E-55 AMG,Mercedes-Benz,Gasolina,,,,,,,
1381,4245,E-63 AMG 6.2 V8 32V,Mercedes-Benz,Gasolina,6.2,V6/V8,,,,,32
1382,5151,G-55 Kompressor AMG 5.5 V8 507cv Aut.,Mercedes-Benz,Gasolina,5.5,V6/V8,,Auto,,5,
1383,8499,G-63 AMG 4MATIC 4.0 V8 Bi-TB 585cv Aut.,Mercedes-Benz,Gasolina,4.0,V6/V8,,Auto,,5,
1384,4250,GL-500 5.5 V8 32V 4x4 388cv Aut.,Mercedes-Benz,Gasolina,5.5,V6/V8,,Auto,,3,32
1385,9329,GLA 200 AMG Line 1.3 16V TB Aut.,Mercedes-Benz,Gasolina,1.3,Other,,Auto,,,16
1387,10882,GLA 200 AMG Line 1.3 16V TB Aut.(Híb.),Mercedes-Benz,Gasolina,1.3,Other,,Auto,,,16
1389,7397,GLA 200 Enduro 1.6 TB 16V Flex Aut.,Mercedes-Benz,Gasolina,1.6,Other,,Auto,,,16
1390,7161,GLA 200 Style 1.6 TB 16V/Flex Aut.,Mercedes-Benz,Gasolina,1.6,Other,,Auto,,,16
1391,9350,GLB 200 Advance 1.3 TB 16V Aut.,Mercedes-Benz,Gasolina,1.3,Other,,Auto,,,16
1392,9793,GLB 35 AMG 4MATIC 2.0 Turbo Aut.,Mercedes-Benz,Gasolina,2.0,Turbo,,Auto,,,
1393,10972,GLB 35 AMG 4MATIC 2.0 Turbo Aut. (Híb.),Mercedes-Benz,Gasolina,2.0,Turbo,,Auto,,,
1395,9615,GLC 220D 2.0 TB 4M Enduro Diesel,Mercedes-Benz,Diesel,2.0,Diesel,,,,,
1399,9616,GLC 220D 2.0 TB 4M Off-Road Diesel,Mercedes-Benz,Diesel,2.0,Diesel,,,,,
1400,8909,GLC 300 Coupe 4MATIC 2.0 TB 16V Aut.,Mercedes-Benz,Gasolina,2.0,Other,Coupe,Auto,,,16
1401,10952,GLC-300 AMG L. Cou. 4M 2.0 TB Aut. (Híb),Mercedes-Benz,Gasolina,2.0,,,Auto,,,
1402,9660,GLC-43 AMG Coupe 3.0 V6 Bi-TB Aut.,Mercedes-Benz,Gasolina,3.0,V6/V8,Coupe,Auto,,,
1403,8633,GLC-63 AMG 4MATIC 4.0 Bi-TB V8,Mercedes-Benz,Gasolina,4.0,V6/V8,,,,,
1404,7486,GLE-350 Sport 4MATIC 3.0 V6 4x4 Diesel,Mercedes-Benz,Diesel,3.0,V6/V8,Sport,,,,
1405,7511,GLE-400 Night Coupe 3.0 V6 333cv Aut.,Mercedes-Benz,Gasolina,3.0,V6/V8,Coupe,Auto,,3,
1406,7838,GLE-43 AMG 4MATIC Coupe 3.0 V6 Bi-TB Aut,Mercedes-Benz,Gasolina,3.0,V6/V8,Coupe,Auto,,,
1407,7739,GLE-450 AMG 3.0 V6 367cv Aut.,Mercedes-Benz,Gasolina,3.0,V6/V8,,Auto,,3,
1408,11018,GLE-450 Coupe 3.0 4MATIC Diesel (Híb),Mercedes-Benz,Diesel,3.0,Diesel,Coupe,,,,
1410,5134,GLK 300 3.0 V6 24V 4x4 231cv Aut.,Mercedes-Benz,Gasolina,3.0,V6/V8,,Auto,,2,24
1411,7356,GT S AMG 4.0 V8 Bi-Turbo 510cv,Mercedes-Benz,Gasolina,4.0,V6/V8,,,,5,
1412,5035,ML-350 3.0 V6  4x4 Diesel,Mercedes-Benz,Diesel,3.0,V6/V8,,,,,
1413,1623,ML-350 3.5  4x4,Mercedes-Benz,Gasolina,3.5,,,,,,
1414,6124,ML-350 Sport CGI 3.5 V6 306cv 4x4 Aut.,Mercedes-Benz,Gasolina,3.5,V6/V8,Sport,Auto,,3,
1415,4318,ML-63 AMG 6.2 V8 32V 510cv,Mercedes-Benz,Gasolina,6.2,V6/V8,,,,5,32
1416,1627,S-320 L Classic/Wagon Classic 3.2,Mercedes-Benz,Gasolina,3.2,,Wagon,,,,
1418,1630,S-500 C Classic 5.0,Mercedes-Benz,Gasolina,5.0,,,,,,
1419,1632,S-500L 5.0,Mercedes-Benz,Gasolina,5.0,,,,,,
1422,1635,S-600/ S-600 C Classic 6.0,Mercedes-Benz,Gasolina,6.0,,,,,,
1423,4517,S-63 AMG 6.2 V8 525cv Aut,Mercedes-Benz,Gasolina,6.2,V6/V8,,Auto,,5,
1424,4518,S-63 L AMG 6.2 V8/5.5 V8 Bi-TB Aut,Mercedes-Benz,Gasolina,6.2,V6/V8,,Auto,,,
1427,4261,S-65 AMG 6.0 V12 612cv Aut,Mercedes-Benz,Gasolina,6.0,Other,,Auto,,6,
1428,1638,SL-320 3.2/Classic 3.2,Mercedes-Benz,Gasolina,3.2,,,,,,
1430,1639,SL-500 5.0 e 5.5/ Classic 5.0,Mercedes-Benz,Gasolina,5.0,,,,,,
1434,1640,SL-55 AMG V8 24V 500cv,Mercedes-Benz,Gasolina,,V6/V8,,,,5,24
1436,1641,SL-600,Mercedes-Benz,Gasolina,,,,,,,
1438,6359,SL-63 AMG 5.5 Bi-Turbo V8 Aut.,Mercedes-Benz,Gasolina,5.5,Turbo,,Auto,,,
1441,1642,SLK-200 Kompressor 16V/ 200 CGI 16V,Mercedes-Benz,Gasolina,,Other,,,,,16
1443,1644,SLK-230 Plus,Mercedes-Benz,Gasolina,,,,,,,
1444,1647,SLK-55 AMG V8 24V,Mercedes-Benz,Gasolina,,V6/V8,,,,,24
1447,10685,Sprin. 517 VAN E.L.P.T.A. 20L Die. (E6),Mercedes-Benz,Diesel,,,,,,,
1448,1655,Sprinter 311 Chassi 2.2 Diesel,Mercedes-Benz,Diesel,2.2,Diesel,,,,,
1451,1657,Sprinter 311 Furgão Longo 2.2  Dies,Mercedes-Benz,Diesel,2.2,,,,,,
1453,1658,Sprinter 311 Furgão Longo Teto alto Dies,Mercedes-Benz,Diesel,,,,,,,
1455,1663,Sprinter 311 VAN Std. 2.2 109cv 13L Dies,Mercedes-Benz,Diesel,2.2,,,,,1,
1456,1678,Sprinter 312 Van Street Luxo 15Lug.Dies.,Mercedes-Benz,Diesel,,,,,,,
1457,1682,Sprinter 313 Furgão Curto 2.2 129cv Dies,Mercedes-Benz,Diesel,2.2,,,,,1,
1459,1684,Sprinter 313 Furgão Longo T. Alto Diesel,Mercedes-Benz,Diesel,,Diesel,,,,,
1462,1687,Sprinter 313 VAN Luxo 2.2 129cv 16L Dies,Mercedes-Benz,Diesel,2.2,,,,,1,
1464,1691,Sprinter 313 VAN Street Std. 16L. Dies.,Mercedes-Benz,Diesel,,,,,,,
1466,8912,Sprinter 314 Furgão Longo T.A. 2.2 Dies.,Mercedes-Benz,Diesel,2.2,,,,,,
1467,10574,Sprinter 315 Furgão Str. L T.A 2.0 Dies.,Mercedes-Benz,Diesel,2.0,,,,,,
1468,1693,Sprinter 413 Furgão Longo T.Alto Diesel,Mercedes-Benz,Diesel,,Diesel,,,,,
1470,6179,Sprinter 415 Chassi L. 2.2 Diesel,Mercedes-Benz,Diesel,2.2,Diesel,,,,,
1472,6128,Sprinter 415 Furgão Lon.T.Bai. 2.2 Dies.,Mercedes-Benz,Diesel,2.2,,,,,,
1473,6182,Sprinter 415 VAN Luxo T.A. 2.2 Diesel,Mercedes-Benz,Diesel,2.2,Diesel,,,,,
1475,9058,Sprinter 416 F. Vidrado E.L T.A. 2.2 Die,Mercedes-Benz,Diesel,2.2,,,,,,
1476,10581,Sprinter 417 F. Vidrado L.T.A. Die. (E6),Mercedes-Benz,Diesel,,,,,,,
1477,10585,Sprinter 417 Furgão Longo T.B Die. (E6),Mercedes-Benz,Diesel,,,,,,,
1478,10589,Sprinter 417 VAN L.T.B 16L Diesel( E6),Mercedes-Benz,Diesel,,Diesel,,,,,
1479,8923,Sprinter 516 Chassi E.L. T.B. 2.2 Dies.,Mercedes-Benz,Diesel,2.2,,,,,,
1480,10594,Sprinter 517 F.Vidr. E.L.P.T.A. Die (E6),Mercedes-Benz,Diesel,,,,,,,
1481,1781,350Z 3.5 V6 280cv/ 312cv 2p,Nissan,Gasolina,3.5,V6/V8,,,2,2,
1482,1785,D-21 Pick-Up CD 4x2/4x4 2.7 Diesel,Nissan,Diesel,2.7,Diesel,Pickup,,,,
1483,8551,Frontier ATTAC.CD 4x4 2.3 Bi-TB Die. Aut,Nissan,Diesel,2.3,,Pickup,Auto,,,
1484,7887,Frontier LE CD 4x4 2.3 Bi-TB Diesel Aut.,Nissan,Diesel,2.3,Diesel,Pickup,Auto,,,
1485,4775,Frontier LE CD 4x4 2.5 TB Diesel Aut.,Nissan,Diesel,2.5,Diesel,Pickup,Auto,,,
1486,8636,Frontier S CD 4x4 2.3 TB Diesel Mec.,Nissan,Diesel,2.3,Diesel,Pickup,Manual,,,
1488,4778,Frontier SE/SE Strik CD 4x4 2.5 TB Dies.,Nissan,Diesel,2.5,,Pickup,,,,
1489,6241,Frontier SL CD 4x4 2.5TB Diesel Aut,Nissan,Diesel,,Diesel,Pickup,Auto,,,
1490,4779,Frontier XE CD 4x2 2.5 TB Diesel,Nissan,Diesel,2.5,Diesel,Pickup,,,,
1491,1795,Frontier XE/ XE TIT. CD 4x2 2.8 TDI Dies,Nissan,Diesel,2.8,,Pickup,,,,
1492,9335,KICKS Advance 1.6 16V Flex Aut.,Nissan,Gasolina,1.6,Other,,Auto,,,16
1493,7982,KICKS S 1.6 16V FlexStar 5p Mec.,Nissan,Gasolina,1.6,Other,,Manual,5,,16
1494,9633,KICKS XPlay 1.6 16V Flex Aut.,Nissan,Gasolina,1.6,Other,,Auto,,,16
1495,4984,LIVINA GRAND SL 1.8 16V Flex Fuel Aut.,Nissan,Gasolina,1.8,Other,,Auto,,,16
1496,4867,LIVINA SL 1.8 16V Flex Fuel Aut.,Nissan,Gasolina,1.8,Other,,Auto,,,16
1497,5691,MARCH S 1.6 16V Flex Fuel 5p,Nissan,Gasolina,1.6,Other,,,5,,16
1498,5692,MARCH SV 1.6 16V Flex Fuel,Nissan,Gasolina,1.6,Other,,,,,16
1499,1801,Maxima 30GV/30GV Aero/ GV 3.0 V6 24V,Nissan,Gasolina,3.0,V6/V8,,,,,24
1500,1803,Maxima GXE 3.0,Nissan,Gasolina,3.0,,,,,,
1501,1808,Pathfinder LE 2.5 16V TDI Diesel Aut,Nissan,Diesel,2.5,Other,,Auto,,,16
1502,1814,Pathfinder SE Titanium 3.3 V6 12V,Nissan,Gasolina,3.3,V6/V8,,,,,12
1503,1819,Pick-Up King Cab DX 2.7 4x2 Diesel,Nissan,Diesel,2.7,Diesel,,,,,
1504,4294,Sentra 2.0/ 2.0 Flex Fuel 16V Aut.,Nissan,Gasolina,2.0,Flex,,Auto,,,16
1505,10570,Sentra Advance 2.0 16V Aut.,Nissan,Gasolina,2.0,Other,,Auto,,,16
1506,1824,Sentra GSX/ EX,Nissan,Gasolina,,,,,,,
1507,7595,Sentra S 2.0 FlexStart 16V Aut.,Nissan,Gasolina,2.0,Flex,,Auto,,,16
1508,7596,Sentra SL 2.0 FlexStart 16V Aut.,Nissan,Gasolina,2.0,Flex,,Auto,,,16
1509,6616,Sentra SV 2.0 FlexStart 16V Aut.,Nissan,Gasolina,2.0,Flex,,Auto,,,16
1510,4404,TIIDA S 1.8/1.8 Flex 16V  Mec.,Nissan,Gasolina,1.8,Flex,,Manual,,,16
1511,7166,VERSA 1.0 12V FlexStart 4p Mec.,Nissan,Gasolina,1.0,Other,,Manual,4,,12
1512,7627,VERSA S 1.6 16V FlexStart 4p Mec.,Nissan,Gasolina,1.6,Other,,Manual,4,,16
1513,7628,VERSA SL 1.6 16V FlexStart 4p Aut.,Nissan,Gasolina,1.6,Other,,Auto,4,,16
1514,7630,VERSA SV 1.6 16V FlexStart 4p Aut.,Nissan,Gasolina,1.6,Other,,Auto,4,,16
1515,1831,XTerra XE 4x4 2.8 132cv TB Int. Diesel,Nissan,Diesel,2.8,Diesel,,,,1,
1516,6307,PICK-UP Q22B CS 1.0 2p,RELY,Gasolina,1.0,,,,2,,
1517,6647,PICK-UP Q22E CD 1.0 4p,RELY,Gasolina,1.0,,Pickup,,4,,
2,53,A3 1.6 3p Aut.,Audi,Gasolina,1.6,,,Auto,3,,
5,57,A3 1.8 3p Aut.,Audi,Gasolina,1.8,,,Auto,3,,
6,65,A3 1.8 Turbo 3p Mec.,Audi,Gasolina,1.8,Turbo,,Manual,3,,
8,8227,A3 Cabriolet Ambition 2.0 TFSI S-tronic,Audi,Gasolina,2.0,,,,,,
9,8559,A3 Cabriolet Perfor. 2.0 TFSI S-tronic,Audi,Gasolina,2.0,,,,,,
10,7419,A3 Sed. Ambition 2.0 TSFI 220cv S-tronic,Audi,Gasolina,2.0,,,,,2,
13,8945,A3 Sed. P. Plus Tech 1.4 Flex TFSI Tip.,Audi,Gasolina,1.4,Flex,,,,,
15,8768,A3 Sed. P.Plus 1.4 25Anos Flex TFSI Tip.,Audi,Gasolina,1.4,Flex,,,,,
16,6689,A3 Sed.1.8/1.8 Ambit.16V TB FSI S-tronic,Audi,Gasolina,1.8,Other,,,,,16
21,9963,A3 Sedan S-Line 2.0 TFSI  S-Tron.(Híb.),Audi,Gasolina,2.0,,Sedan,,,,
26,89,A4 2.8 Avant V6 30V Mec.,Audi,Gasolina,2.8,V6/V8,MPV,Manual,,,30
31,7537,A4 Launch Edition 2.0 TFSI 190cv S troni,Audi,Gasolina,2.0,,,,,1,
33,6082,A5 Cabriolet 2.0 TFSI Quattro Stronic,Audi,Gasolina,2.0,,,,,,
35,11039,A5 Sportb. S Line 2.0 TFSI Quatt. (Híb.),Audi,Gasolina,2.0,,Sport,,,,
43,6413,A6 3.0 Avant.TFSI V6 Quattro S tronic 5p,Audi,Gasolina,3.0,V6/V8,MPV,,5,,
48,9298,A6 Perf. Black 3.0 TFSI Quattro S-tronic,Audi,Gasolina,3.0,,,,,,
50,9078,E-TRON Performace Aut. (Elétrico),Audi,Gasolina,,Electric,,Auto,,,
53,6573,Q5 2.0 16V TFSI 225cv Quattro Tiptronic,Audi,Gasolina,2.0,Other,,,,2,16
58,4936,Q5 2.0 16V TFSI Quattro S Tronic,Audi,Gasolina,2.0,Other,,,,,16
64,10050,Q7 Perf. Black 3.0 TFSI Quat.Tip.(Híb.),Audi,Gasolina,3.0,,,,,,
68,8658,Q7 Perf.Black 3.0 TDI Quat.Tip.5p Dies.,Audi,Diesel,3.0,,,,5,,
69,9205,Q7 S-Line 3.0 V6 TFSI Quattro Tiptronic,Audi,Gasolina,3.0,V6/V8,,,,,
71,10996,Q8 Perf.Black 3.0 TFSI Quat. S-tr/(Híb.),Audi,Gasolina,3.0,,,,,,
76,5236,R8 5.2 V10 Quattro R-tronic/S-tronic,Audi,Gasolina,5.2,Other,,,,,
85,5974,R8 GT 5.2 V10 560cv Quattro R-tronic,Audi,Gasolina,5.2,Other,,,,5,
88,6865,RS Q3 2.5 TFSI Quattro S-tronic 5p,Audi,Gasolina,2.5,,,,5,,
95,9292,RS Q3 Sportback 2.5 TFSI Quattro S-tron.,Audi,Gasolina,2.5,,Sport,,,,
96,9247,RS5 Sportback 2.9 V6 TFSI Quattro Tip.,Audi,Gasolina,2.9,V6/V8,Sport,,,,
97,6086,S4 3.0 TFSI V6 24V Quattro Stronic,Audi,Gasolina,3.0,V6/V8,,,,,24
99,136,S4 4.2 Avant V8 40V 344cv Quattro Tipt.,Audi,Gasolina,4.2,V6/V8,MPV,,,3,40
101,7128,S8 4.0 TFSI Quattro Tiptronic 4p,Audi,Gasolina,4.0,,,,4,,
102,149,TT 1.8 TB 180cv,Audi,Gasolina,1.8,,,,,1,
111,155,318i Cabrio 1.8 16V,BMW,Gasolina,1.8,Other,,,,,16
115,170,323iA Confort,BMW,Gasolina,,,,,,,
119,186,328i/iA (modelo antigo),BMW,Gasolina,,,,,,,
120,4272,335iA 3.0 24V 306cv,BMW,Gasolina,3.0,,,,,3,24
121,200,528iA High,BMW,Gasolina,,,,,,,
130,203,530i/iA Touring,BMW,Gasolina,,,,,,,
134,204,535i/iA 3.5 24V,BMW,Gasolina,3.5,,,,,,24
137,211,545iA 4.4 32V V8 333cv,BMW,Gasolina,4.4,V6/V8,,,,3,32
139,5268,550iA 4.4 32V 407cv Bi-Turbo,BMW,Gasolina,4.4,Turbo,,,,4,32
142,3880,550iA 4.8 32V,BMW,Gasolina,4.8,,,,,,32
146,4995,550iA Limited Sport Edition 4.8 32V,BMW,Gasolina,4.8,,Sport,,,,32
147,4432,550iA Security 4.8 32V,BMW,Gasolina,4.8,,,,,,32
149,213,730i 3.0 32V,BMW,Gasolina,3.0,,,,,,32
150,227,850Ci/CiA 5.0 24V,BMW,Gasolina,5.0,,,,,,24
151,7024,i3 Rex E Drive Full 170cv Aut.(Elétrico),BMW,Gasolina,,Electric,,Auto,,1,
152,11103,iX 1 eDrive20 X-Line Aut. (Elétrico),BMW,Gasolina,,Electric,,Auto,,,
157,236,M5 3.8/Touring 3.8 24V,BMW,Gasolina,3.8,,,,,,24
158,9484,M5 Competition M XDRIVE 4.4 Bi-TB V8,BMW,Gasolina,4.4,V6/V8,,,,,
159,8389,M5 Perform. Pack M XDRIVE 4.4 Bi-TB V8,BMW,Gasolina,4.4,V6/V8,,,,,
162,5497,X3 XDRIVE 35i/M-Sport 3.0 306cv Bi-Turbo,BMW,Gasolina,3.0,Turbo,Sport,,,3,
165,5188,X5 M 4.4 4x4 V8 32V Bi-Turbo Aut.,BMW,Gasolina,4.4,V6/V8,,Auto,,,32
166,7283,X5 XDRIVE 30d 3.0 Diesel,BMW,Diesel,3.0,Diesel,,,,,
167,10765,X5 XDRIVE 50e 3.0 M Sport Aut. (Hibrido),BMW,Gasolina,3.0,,Sport,Auto,,,
168,247,Z3 2.8 Mec.,BMW,Gasolina,2.8,,,Manual,,,
169,8777,Z4 M40i 3.0 340cv Aut.,BMW,Gasolina,3.0,,,Auto,,3,
170,5190,Buggy VII/VII BIG/VII Flex,Bugre,Gasolina,,Flex,,,,,
175,9039,ARRIZO 5 RT 1.5 Turbo Flex Aut.,Caoa Chery/Chery,Gasolina,1.5,Turbo,,Auto,,,
177,9040,ARRIZO 5 RTS 1.5 Turbo Flex Aut.,Caoa Chery/Chery,Gasolina,1.5,Turbo,,Auto,,,
180,8513,ARRIZO 5 RX 1.5 16V Turbo Flex Aut.,Caoa Chery/Chery,Gasolina,1.5,Other,,Auto,,,16
182,9262,ARRIZO 5 RXS 1.5 Turbo Flex Aut.,Caoa Chery/Chery,Gasolina,1.5,Turbo,,Auto,,,
183,8514,ARRIZO 5 RXT 1.5 16V Turbo Flex Aut.,Caoa Chery/Chery,Gasolina,1.5,Other,,Auto,,,16
186,7224,QQ 1.0  ACT FL 12V/1.0 12V Flex  5p,Caoa Chery/Chery,Gasolina,1.0,Other,,,5,,12
187,8339,Tiggo 2 ACT 1.5 16V Flex Aut.5p,Caoa Chery/Chery,Gasolina,1.5,Other,,Auto,5,,16
198,5339,AIRCROSS GLX 1.6 Flex 16V 5p Mec.,Citroën,Gasolina,1.6,Flex,,Manual,5,,16
203,7585,C3 Attraction Pure Tech 1.2 Flex 12V Mec,Citroën,Gasolina,1.2,Flex,,Manual,,,12
208,8003,C3 Start 1.2 Flex 12V 5p,Citroën,Gasolina,1.2,Flex,,,5,,12
211,6776,C3 Tendance 1.6 VTi Flex Start 16V Aut.,Citroën,Gasolina,1.6,Flex,,Auto,,,16
212,4054,C3 XTR 1.6 Flex 16V 5p,Citroën,Gasolina,1.6,Flex,,,5,,16
213,8472,C4 CACTUS SHINE Pack 1.6 Turbo Flex Aut.,Citroën,Gasolina,1.6,Turbo,,Auto,,,
216,8515,C4 LOUNGE Live 1.6 Turbo Flex Aut.,Citroën,Gasolina,1.6,Turbo,,Auto,,,
217,7658,C4 LOUNGE Orig.Business 1.6 TB Flex Aut.,Citroën,Gasolina,1.6,Flex,,Auto,,,
218,4399,C4 PALLAS GLX 2.0/ 2.0 Flex Aut.,Citroën,Gasolina,2.0,Flex,,Auto,,,
224,4400,C4 PALLAS GLX 2.0/2.0 Flex 16V Mec.,Citroën,Gasolina,2.0,Flex,,Manual,,,16
238,302,Jumper 2.8 16Lug.  Diesel,Citroën,Diesel,2.8,Diesel,,,,,
245,3930,Xsara Picasso Exclus. 1.6/ 1.6 Flex 16V,Citroën,Gasolina,1.6,Flex,,,,,16
250,362,Lanos SX 1.6 16V Aut.,Daewoo,Gasolina,1.6,Other,,Auto,,,16
251,380,Cuore 0/TS0 85i,Daihatsu,Gasolina,,,,,,,
252,391,Dakota Durango 5.9 4x4 V8,Dodge,Gasolina,5.9,V6/V8,,,,,
257,4640,ULC VAN 1.0 8V 5p,EFFA,Gasolina,1.0,Other,,,5,,8
259,9041,V25 Furgão 1.3 16V 5p,EFFA,Gasolina,1.3,Other,,,5,,16
261,7881,458 Speciale A,Ferrari,Gasolina,,,,,,,
262,7502,488 GTB 3.9 V8 670cv,Ferrari,Gasolina,3.9,V6/V8,,,,6,
266,9107,488 Pista 3.9 V8 720cv,Ferrari,Gasolina,3.9,V6/V8,,,,7,
268,8986,488 Pista Spider 3.9 V8 720cv,Ferrari,Gasolina,3.9,V6/V8,,,,7,
269,7876,488 Spider 3.9 V8 670cv,Ferrari,Gasolina,3.9,V6/V8,,,,6,
274,4055,F430 Spider F1,Ferrari,Gasolina,,,,,,,
275,6094,F458 Italia F1 4.5 V8 570cv,Ferrari,Gasolina,4.5,V6/V8,,,,5,
279,439,147 Pick-Up (todas),Fiat,Gasolina,,,,,,,
280,7965,ARGO DRIVE 1.0 6V Flex,Fiat,Gasolina,1.0,Flex,,,,,6
284,441,Brava HGT 1.8 mpi 16V  4p,Fiat,Gasolina,1.8,Other,,,4,,16
285,5591,Bravo T-JET 1.4 16V Turbo 5p,Fiat,Gasolina,1.4,Other,,,5,,16
286,6515,Bravo WOLVERINE 1.8 Dualogic Flex 16V 5p,Fiat,Gasolina,1.8,Flex,,,5,,16
287,445,Coupe 16V,Fiat,Gasolina,,Other,Coupe,,,,16
288,9989,CRONOS DRIVE 1.0 6V Flex,Fiat,Gasolina,1.0,Flex,,,,,6
290,5536,Doblo ESSENCE 1.8 Flex 16V 5p,Fiat,Gasolina,1.8,Flex,,,5,,16
293,8206,Ducato Chassi 2.3 16V Diesel,Fiat,Diesel,2.3,Other,,,,,16
295,455,Ducato Combinato 2.8 Turbo Diesel,Fiat,Diesel,2.8,Turbo,,,,,
297,5026,Ducato Maxi. Long. 2.3 T.Alto ME Diesel,Fiat,Diesel,2.3,Diesel,,,,,
303,465,Ducato-15 Furgão 2.8 Diesel,Fiat,Diesel,2.8,Diesel,,,,,
304,468,Elba 1.6i.e/Top/CSL/ 1.6i.e/1.5 2p e 4p,Fiat,Gasolina,1.5,,,,2,,
308,6663,Fiorino Furgão EVO 1.4 Flex 8V 2p,Fiat,Gasolina,1.4,Flex,,,2,,8
311,478,Fiorino Pick-Up Trekking 1.5 mpi / i.e.,Fiat,Gasolina,1.5,,,,,,
