,modelo_id,modelo,marca,comb,version,engine,category,transmission_type,doors,hp,valves
1021,921,Versailles Ghia 2.0i / 2.0 2p e 4p,Ford,Gasolina,2.0,,,,2,,
1022,922,Versailles GL 1.8i / 1.8 2p e 4p,Ford,Álcool,1.8,,,,2,,
1023,923,Versailles GL 2.0i / 2.0 2p e 4p,Ford,Álcool,2.0,,,,2,,
1025,8474,MINITRUCK 3.5 11DT 4x2 diesel (E5),FOTON,Diesel,3.5,,,,,,
1026,5368,Buggy 2000W 1.8 8V/ 1.8 8V Flex,Fyber,Gasolina,1.8,Other,,,,,8
1030,10365,Buggy FyberX 1.6 8V,Fyber,Gasolina,1.6,Other,,,,,8
1031,928,A-20 Custom Std. CD/ De Luxe CD,GM - Chevrolet,Gasolina,,,Pickup,,,,
1033,929,A-20 Custom/ C-20 Luxe 4.1,GM - Chevrolet,Álcool,4.1,,,,,,
1034,929,A-20 Custom/ C-20 Luxe 4.1,GM - Chevrolet,Gasolina,4.1,,,,,,
1036,951,Astra Sed.Comf.2.0 MPFI MultiPower 8V 4p,GM - Chevrolet,Gasolina,2.0,Other,,,4,,8
1037,953,Astra Sed.Eleg.2.0 MPFI FlexPower 8V 4p,GM - Chevrolet,Gasolina,2.0,Other,,,4,,8
1039,967,Bonanza S / Luxe 4.0 Diesel Turbo,GM - Chevrolet,Diesel,4.0,Diesel,,,,,
1042,974,C-10 De Luxe CD 2.5/ 4.1,GM - Chevrolet,Gasolina,2.5,,Pickup,,,,
1045,4841,CAPTIVA SPORT FWD 2.4 16V 171/185cv,GM - Chevrolet,Gasolina,2.4,Other,,,,1,16
1047,994,Celta 1.4/ Super/ Energy 1.4 8V 85cv 5p,GM - Chevrolet,Gasolina,1.4,Other,,,5,8,8
1048,995,Celta Life/ LS 1.0 MPFI 8V FlexPower 3p,GM - Chevrolet,Gasolina,1.0,Other,,,3,,8
1055,1033,Corsa Sed Class.Spirit 1.0/1.0 FlexPower,GM - Chevrolet,Gasolina,1.0,Flex,,,,,
1056,1039,Corsa Sed. Maxx 1.0/ 1.0 FlexPower 8V 4p,GM - Chevrolet,Gasolina,1.0,Flex,,,4,,8
1057,1042,Corsa Sed. Premium 1.8 MPFI 8V FlexPower,GM - Chevrolet,Gasolina,1.8,Other,,,,,8
1058,1048,Corsa Sedan GLS 1.6 16V MPFI 4p,GM - Chevrolet,Gasolina,1.6,Other,Sedan,,4,,16
1059,1054,Corsa Super 1.0 MPFI / 2p e 4p,GM - Chevrolet,Gasolina,1.0,Other,,,2,,
1060,5976,CRUZE HB Sport LT 1.8 16V FlexP. 5p Mec,GM - Chevrolet,Gasolina,1.8,Other,Sport,Manual,5,,16
1061,8885,CRUZE Premier 1.4 16V TB Flex Aut.,GM - Chevrolet,Gasolina,1.4,Other,,Auto,,,16
1063,1077,D-20 S 3.9/4.0 Turbo Diesel,GM - Chevrolet,Diesel,3.9,Turbo,,,,,
1066,9859,EQUINOX RS 1.5 Turbo 172cv Aut.,GM - Chevrolet,Gasolina,1.5,Turbo,,Auto,,1,
1068,5276,MALIBU LTZ 2.4 16V 171cv 4p,GM - Chevrolet,Gasolina,2.4,Other,,,4,1,16
1069,4768,Meriva Joy 1.4 MPFI 8V ECONOFLEX 5p,GM - Chevrolet,Gasolina,1.4,Other,,,5,,8
1070,10401,MONTANA 1.2 Turbo Flex 12V 4p Mec.,GM - Chevrolet,Gasolina,1.2,Turbo,,Manual,4,,12
1071,10759,MONTANA RS 1.2 Turbo Flex 12V Aut.,GM - Chevrolet,Gasolina,1.2,Turbo,,Auto,,,12
1074,1108,Omega CD 3.8 V6,GM - Chevrolet,Gasolina,3.8,V6/V8,Pickup,,,,
1075,6232,ONIX HATCH LT 1.0 8V FlexPower 5p Mec.,GM - Chevrolet,Gasolina,1.0,Other,,Manual,5,,8
1076,6530,ONIX HATCH LT 1.4 8V FlexPower 5p Aut.,GM - Chevrolet,Gasolina,1.4,Other,,Auto,5,,8
1084,1116,Opala L/SL/SS/ 2.5/4.1,GM - Chevrolet,Gasolina,2.5,,,,,,
1086,6350,PRISMA Sed. LT 1.4 8V FlexPower 4p,GM - Chevrolet,Gasolina,1.4,Other,,,4,,8
1089,6533,PRISMA Sed. LTZ 1.4 8V FlexPower 4p Aut.,GM - Chevrolet,Gasolina,1.4,Other,,Auto,4,,8
1091,1125,S10 Blazer DLX 2.5 Diesel Turbo,GM - Chevrolet,Diesel,2.5,Diesel,,,,,
1093,1137,S10 Pick-Up 2.8 4x2 Turbo Interc. Dies.,GM - Chevrolet,Diesel,2.8,Turbo,,,,,
1094,1145,S10 Pick-Up Exec. 2.8 4x2 CD TB Int.Dies,GM - Chevrolet,Diesel,2.8,,Pickup,,,,
1095,1146,S10 Pick-Up Exec. 2.8 4x4 CD TB Int.Dies,GM - Chevrolet,Diesel,2.8,,Pickup,,,,
1101,7956,S10 Pick-Up LTZ 2.5 Flex 4x4 CD Aut.,GM - Chevrolet,Gasolina,2.5,Flex,Pickup,Auto,,,
1102,1149,S10 Pick-Up Luxe 2.2 EFI CD,GM - Chevrolet,Gasolina,2.2,,Pickup,,,,
1103,1153,S10 Pick-Up Luxe 2.5 Diesel Turbo,GM - Chevrolet,Diesel,2.5,Diesel,,,,,
1104,1158,S10 Pick-Up Std 2.8 4x2 CD TB Int.Dies.,GM - Chevrolet,Diesel,2.8,,Pickup,,,,
1105,1164,S10 P-Up 2.8/Sert. 2.8 4x4 TB Int. Dies.,GM - Chevrolet,Diesel,2.8,,,,,,
1106,1166,S10 P-Up Colina 2.8 TDI 4x2/4x4 CD Dies.,GM - Chevrolet,Diesel,2.8,,Pickup,,,,
1109,1167,S10 P-Up Luxe 2.5 4x2 CD TB Max HST Dies,GM - Chevrolet,Diesel,2.5,,Pickup,,,,
1113,1172,Sierra CE 5.7 V8,GM - Chevrolet,Gasolina,5.7,V6/V8,,,,,
1114,1183,Silverado DLX 4.2 Diesel,GM - Chevrolet,Diesel,4.2,Diesel,,,,,
1119,6106,SPIN LTZ 1.8 8V Econo.Flex 5p Mec.,GM - Chevrolet,Gasolina,1.8,Other,,Manual,5,,8
1121,1199,Suprema CD 4.1 / 3.0,GM - Chevrolet,Gasolina,4.1,,Pickup,,,,
1122,4240,TRACKER 2.0 16v 128cv MPFI 4x4 5p,GM - Chevrolet,Gasolina,2.0,Other,,,5,1,
1123,7792,TRACKER LT 1.4 Turbo 16V Flex 4x2 Aut.,GM - Chevrolet,Gasolina,1.4,Turbo,,Auto,,,16
1127,1229,Zafira 2.0/ CD 2.0 16V  MPFI 5p,GM - Chevrolet,Gasolina,2.0,Other,Pickup,,5,,16
1129,1237,Zafira Elite 2.0 MPFI FlexPower 8V 5p,GM - Chevrolet,Gasolina,2.0,Other,,,5,,8
1131,4773,Towner Pick-Up 1.0 8V 48cv 2p,HAFEI,Gasolina,1.0,Other,,,2,4,8
1132,9437,e.co Tech4 6kW (Elétrico),HITECH ELECTRIC,Gasolina,,Electric,,,,,
1136,1245,Accord Sedan LX  2.2/2.4 16V,Honda,Gasolina,2.2,Other,Sedan,,,,16
1137,1246,Accord SW EX,Honda,Gasolina,,,,,,,
1138,5373,CITY Sedan DX 1.5 Flex 16V Mec.,Honda,Gasolina,1.5,Flex,Sedan,Manual,,,16
1145,8212,CITY Sedan Personal 1.5 Flex 16V Aut.,Honda,Gasolina,1.5,Flex,Sedan,Auto,,,16
1146,1249,Civic CRX/ Targa VTi,Honda,Gasolina,,,,,,,
1148,1250,Civic Sedan EX/ EXS 1.6 Mec. 4p,Honda,Gasolina,1.6,,Sedan,Manual,4,,
1149,1262,Civic Sedan LX 1.6 16V Aut. 4p,Honda,Gasolina,1.6,Other,Sedan,Auto,4,,16
1150,1266,Civic Sedan LXB 1.6 16V 4p,Honda,Gasolina,1.6,Other,Sedan,,4,,16
1152,4292,Civic Sedan Si 2.0 16V  192cv 4p,Honda,Gasolina,2.0,Other,Sedan,,4,1,16
1153,7696,Civic Sedan TOURING 1.5 Turbo 16V Aut.4p,Honda,Gasolina,1.5,Turbo,Sedan,Auto,4,,16
1154,4630,CR-V LX 2.0 16V 2WD/2.0 Flexone Aut.,Honda,Gasolina,2.0,Other,,Auto,,,16
1161,1278,Fit LXL 1.4/ 1.4 Flex 8V/16V 5p Mec.,Honda,Gasolina,1.4,Flex,,Manual,5,,8
1163,10217,HR-V EX 1.5 Flex Sensing 16V 5p Aut.,Honda,Gasolina,1.5,Flex,,Auto,5,,16
1164,7152,HR-V LX 1.8 Flexone 16V 5p Aut.,Honda,Gasolina,1.8,Flex,,Auto,5,,16
1165,10218,HR-V Touring 1.5 Flex TB 16V 5p Aut.,Honda,Gasolina,1.5,Flex,,Auto,5,,16
1166,1287,Accent GLS 1.5 12V/16V Mec.,Hyundai,Gasolina,1.5,Other,,Manual,,,12
1168,9589,Creta Attitude 1.6 16V Flex Aut.,Hyundai,Gasolina,1.6,Other,,Auto,,,16
1169,7830,Creta Prestige 2.0 16V Flex Aut.,Hyundai,Gasolina,2.0,Other,,Auto,,,16
1170,1301,Elantra GLS 1.6,Hyundai,Gasolina,1.6,,,,,,
1171,6433,Elantra GLS 2.0 16V Flex Aut.,Hyundai,Gasolina,2.0,Other,,Auto,,,16
1172,1306,Excel GLS,Hyundai,Gasolina,,,,,,,
1173,1316,H1 Starex HSV 2.5 Diesel,Hyundai,Diesel,2.5,Diesel,,,,,
1174,1319,H100 DLX/ Panel Diesel,Hyundai,Diesel,,Diesel,,,,,
1175,1321,H100 GL Furgão Extra-Longo Diesel,Hyundai,Diesel,,Diesel,,,,,
1176,1326,H100 SPR Diesel (15 lugares),Hyundai,Diesel,,Diesel,,,,,
1177,6207,HB20 C./C.Plus/C.Style 1.6 Flex 16V Mec.,Hyundai,Gasolina,1.6,Flex,,Manual,,,16
1179,7480,HB20 R spec 1.6 Flex 16V Aut.,Hyundai,Gasolina,1.6,Flex,,Auto,,,16
1181,10820,HB20S Comfort Plus 1.0 Flex 12V Mec.,Hyundai,Gasolina,1.0,Flex,,Manual,,,12
1182,6438,HB20S Premium 1.6 Flex 16V Mec. 4p,Hyundai,Gasolina,1.6,Flex,,Manual,4,,16
1183,6355,HB20X Style 1.6 Flex 16v Mec.,Hyundai,Gasolina,1.6,Flex,,Manual,,,
1184,10635,HR 2.5 4WD Diesel,Hyundai,Diesel,2.5,Diesel,,,,,
1185,7858,ix35 2.0 16V 2WD Flex Aut.,Hyundai,Gasolina,2.0,Other,,Auto,,,16
1186,1331,Porter GL 4x2 Curto/Longo Diesel,Hyundai,Diesel,,Diesel,,,,,
1189,6439,Santa Fe/GLS 3.3 V6 4X4 Tiptronic,Hyundai,Gasolina,3.3,V6/V8,,,,,
1190,1334,Scoupe,Hyundai,Gasolina,,,,,,,
1191,1340,Terracan 2.5 8V 100cv TB Diesel Aut.,Hyundai,Diesel,2.5,Other,,Auto,,1,8
1194,7836,Tucson GLS 1.6 Turbo 16V Aut.,Hyundai,Gasolina,1.6,Turbo,,Auto,,,16
1200,1349,Hombre 2 WD XS 2.2,Isuzu,Gasolina,2.2,,,,,,
1201,10630,Daily 50-180 Vetrato 3.0 (Diesel) (E6),IVECO,Diesel,3.0,Diesel,,,,,
1202,10197,DAILY CHASSI 35-160 Curto 3.0 (Die.)(E6),IVECO,Diesel,3.0,,,,,,
1203,11101,DAILY CHASSI 35-180 Curto 3.0 (Die.)(E6),IVECO,Diesel,3.0,,,,,,
1204,9697,DAILY CHASSI 45-170 3.0 (Diesel),IVECO,Diesel,3.0,Diesel,,,,,
1205,10202,DAILY CHASSI 55-180 CD 3.0 4p (Die.)(E6),IVECO,Diesel,3.0,,Pickup,,4,,
1206,10206,DAILY CHASSI 65-180 3.0 2p (Diesel)(E6),IVECO,Diesel,3.0,Diesel,,,2,,
1207,9706,DAILY CITY 30S13 Furgão 2p (Diesel),IVECO,Diesel,,Diesel,,,2,,
1208,10210,DAILY FURGÃO 55-180 3.0 12m³ (Dies.)(E6),IVECO,Diesel,3.0,,,,,,
1209,9552,e-JS1 62cv 5p Aut. (Elétrico),JAC,Gasolina,,Electric,,Auto,5,6,
1210,5499,J3 turin Sedan 1.4 16V 4p Mec.,JAC,Gasolina,1.4,Other,Sedan,Manual,4,,16
1211,7482,T5 1.5 JET Flex 16V 5p Mec.,JAC,Gasolina,1.5,Flex,,Manual,5,,16
1212,8082,V260 2.0 16V Diesel,JAC,Diesel,2.0,Other,,,,,16
1213,8495,E-Pace R-Dyn. SE 2.0 AWD 250cv Aut/Flex.,Jaguar,Gasolina,2.0,Flex,,Auto,,2,
1214,8901,F-PACE SVR Supercharged 5.0 V8,Jaguar,Gasolina,5.0,V6/V8,,,,,
1215,6588,F-Type S Supercharged Conversivel 3.0 V6,Jaguar,Gasolina,3.0,V6/V8,,,,,
1216,1352,S-Type 3.0/ 3.0 SE V6,Jaguar,Gasolina,3.0,V6/V8,,,,,
1218,5453,XJ S.Sport Supercharged 5.0 V8 32V Aut.,Jaguar,Gasolina,5.0,V6/V8,Sport,Auto,,,32
1219,1367,XK-8 BR Coupe/ XK-8 Coupe,Jaguar,Gasolina,,,Coupe,,,,
1220,4438,XKR Coupe  4.2/5.0 32V,Jaguar,Gasolina,4.2,,Coupe,,,,32
1221,1368,X-Type ESTATE 3.0 24V 230cv,Jaguar,Gasolina,3.0,,,,,2,24
1222,1373,Cherokee Sport  4.0 Mec./Aut.,Jeep,Gasolina,4.0,,Sport,Manual,,,
1223,9614,Commander Overland T270 1.3 TB Flex Aut.,Jeep,Gasolina,1.3,Flex,,Auto,,,
