fipe_cod,tabela_id,anoref,mesref,tipo,marca_id,marca,modelo_id,modelo,anomod,comb_cod,comb_sigla,comb,valor
038002-4,313,2024,9,1,1,Acura,2,Legend 3.2/3.5,1998,1,G,Gasolina,25800
038002-4,313,2024,9,1,1,Acura,2,Legend 3.2/3.5,1997,1,G,Gasolina,22941
038002-4,313,2024,9,1,1,Acura,2,Legend 3.2/3.5,1996,1,G,Gasolina,21571
038002-4,313,2024,9,1,1,Acura,2,Legend 3.2/3.5,1994,1,G,Gasolina,18560
038002-4,313,2024,9,1,1,Acura,2,Legend 3.2/3.5,1993,1,G,Gasolina,16353
038002-4,313,2024,9,1,1,Acura,2,Legend 3.2/3.5,1991,1,G,Gasolina,14447
038001-6,313,2024,9,1,1,Acura,3,NSX 3.0,1995,1,G,Gasolina,41640
038001-6,313,2024,9,1,1,Acura,3,NSX 3.0,1994,1,G,Gasolina,40176
038001-6,313,2024,9,1,1,Acura,3,NSX 3.0,1991,1,G,Gasolina,33929
060001-6,313,2024,9,1,2,Agrale,4,MARRUÁ 2.8 12V 132cv TDI Diesel,2007,3,D,Diesel,49014
060003-2,313,2024,9,1,2,Agrale,4564,MARRUÁ AM 100 2.8  CS TDI Diesel,2014,3,D,Diesel,104074
060005-9,313,2024,9,1,2,Agrale,4566,MARRUÁ AM 150 2.8  CS TDI Diesel,2011,3,D,Diesel,77862
060005-9,313,2024,9,1,2,Agrale,4566,MARRUÁ AM 150 2.8  CS TDI Diesel,2010,3,D,Diesel,62550
060005-9,313,2024,9,1,2,Agrale,4566,MARRUÁ AM 150 2.8  CS TDI Diesel,2008,3,D,Diesel,48543
060006-7,313,2024,9,1,2,Agrale,4565,MARRUÁ AM 150 2.8 CD TDI Diesel,2015,3,D,Diesel,125479
060006-7,313,2024,9,1,2,Agrale,4565,MARRUÁ AM 150 2.8 CD TDI Diesel,2014,3,D,Diesel,118738
060006-7,313,2024,9,1,2,Agrale,4565,MARRUÁ AM 150 2.8 CD TDI Diesel,2012,3,D,Diesel,109155
060008-3,313,2024,9,1,2,Agrale,4567,MARRUÁ AM 200 2.8  CD TDI Diesel,2021,3,D,Diesel,328181
060008-3,313,2024,9,1,2,Agrale,4567,MARRUÁ AM 200 2.8  CD TDI Diesel,2020,3,D,Diesel,314324
060008-3,313,2024,9,1,2,Agrale,4567,MARRUÁ AM 200 2.8  CD TDI Diesel,2018,3,D,Diesel,199661
060008-3,313,2024,9,1,2,Agrale,4567,MARRUÁ AM 200 2.8  CD TDI Diesel,2016,3,D,Diesel,133283
060008-3,313,2024,9,1,2,Agrale,4567,MARRUÁ AM 200 2.8  CD TDI Diesel,2014,3,D,Diesel,121596
060008-3,313,2024,9,1,2,Agrale,4567,MARRUÁ AM 200 2.8  CD TDI Diesel,2013,3,D,Diesel,111216
060008-3,313,2024,9,1,2,Agrale,4567,MARRUÁ AM 200 2.8  CD TDI Diesel,2012,3,D,Diesel,103910
060008-3,313,2024,9,1,2,Agrale,4567,MARRUÁ AM 200 2.8  CD TDI Diesel,2009,3,D,Diesel,67120
060002-4,313,2024,9,1,2,Agrale,4569,MARRUÁ AM 50 2.8 140cv TDI Diesel,2009,3,D,Diesel,56348
060002-4,313,2024,9,1,2,Agrale,4569,MARRUÁ AM 50 2.8 140cv TDI Diesel,2008,3,D,Diesel,52384
006002-0,313,2024,9,1,3,Alfa Romeo,7,145 Quadrifoglio 2.0,1999,1,G,Gasolina,27976
006002-0,313,2024,9,1,3,Alfa Romeo,7,145 Quadrifoglio 2.0,1997,1,G,Gasolina,22321
006003-8,313,2024,9,1,3,Alfa Romeo,10,155,1997,1,G,Gasolina,19598
006003-8,313,2024,9,1,3,Alfa Romeo,10,155,1995,1,G,Gasolina,13819
006004-6,313,2024,9,1,3,Alfa Romeo,11,155 Super,1996,1,G,Gasolina,23052
006014-3,313,2024,9,1,3,Alfa Romeo,13,156 Sport Wagon 2.0 16V,2001,1,G,Gasolina,37074
006010-0,313,2024,9,1,3,Alfa Romeo,15,156 TS/Sport/Elegant 2.0 16V,2001,1,G,Gasolina,60187
006010-0,313,2024,9,1,3,Alfa Romeo,15,156 TS/Sport/Elegant 2.0 16V,1999,1,G,Gasolina,57286
006011-9,313,2024,9,1,3,Alfa Romeo,18,166 3.0 V6 24V,2001,1,G,Gasolina,78562
006011-9,313,2024,9,1,3,Alfa Romeo,18,166 3.0 V6 24V,1999,1,G,Gasolina,71926
006013-5,313,2024,9,1,3,Alfa Romeo,19,2300 TI/TI-4,1985,1,G,Gasolina,7107
006007-0,313,2024,9,1,3,Alfa Romeo,20,Spider 2.0/3.0,1997,1,G,Gasolina,132478
006007-0,313,2024,9,1,3,Alfa Romeo,20,Spider 2.0/3.0,1996,1,G,Gasolina,129246
006007-0,313,2024,9,1,3,Alfa Romeo,20,Spider 2.0/3.0,1995,1,G,Gasolina,89655
006007-0,313,2024,9,1,3,Alfa Romeo,20,Spider 2.0/3.0,1993,1,G,Gasolina,39344
007018-1,313,2024,9,1,5,Asia Motors,24,AM-825 Luxo 4.0 Diesel,1997,3,D,Diesel,22347
007018-1,313,2024,9,1,5,Asia Motors,24,AM-825 Luxo 4.0 Diesel,1996,3,D,Diesel,19099
007018-1,313,2024,9,1,5,Asia Motors,24,AM-825 Luxo 4.0 Diesel,1994,3,D,Diesel,17252
007019-0,313,2024,9,1,5,Asia Motors,25,AM-825 Super Luxo 4.0 Diesel,1997,3,D,Diesel,24850
007019-0,313,2024,9,1,5,Asia Motors,25,AM-825 Super Luxo 4.0 Diesel,1996,3,D,Diesel,21836
007002-5,313,2024,9,1,5,Asia Motors,27,Hi-Topic STD Diesel,1996,3,D,Diesel,12495
007002-5,313,2024,9,1,5,Asia Motors,27,Hi-Topic STD Diesel,1993,3,D,Diesel,9447
007017-3,313,2024,9,1,5,Asia Motors,28,Hi-Topic Van 2.7 Diesel (furgão),1997,3,D,Diesel,12360
007017-3,313,2024,9,1,5,Asia Motors,28,Hi-Topic Van 2.7 Diesel (furgão),1996,3,D,Diesel,11417
007016-5,313,2024,9,1,5,Asia Motors,30,Topic Carga 2.7 Diesel (furgão),1997,3,D,Diesel,14079
007009-2,313,2024,9,1,5,Asia Motors,34,Towner Furgão,1998,1,G,Gasolina,5334
007009-2,313,2024,9,1,5,Asia Motors,34,Towner Furgão,1996,1,G,Gasolina,4569
007009-2,313,2024,9,1,5,Asia Motors,34,Towner Furgão,1995,1,G,Gasolina,4341
007012-2,313,2024,9,1,5,Asia Motors,36,Towner Luxo,1999,1,G,Gasolina,5955
007005-0,313,2024,9,1,5,Asia Motors,38,Towner Panel Van,1994,1,G,Gasolina,2443
085014-4,313,2024,9,1,189,ASTON MARTIN,10560,DBS Coupe 5.2 V12 725cv,2023,1,G,Gasolina,4530813
085014-4,313,2024,9,1,189,ASTON MARTIN,10560,DBS Coupe 5.2 V12 725cv,2022,1,G,Gasolina,4207445
085010-1,313,2024,9,1,189,ASTON MARTIN,6909,Vanquish V12 6.0 565cv,2016,1,G,Gasolina,1812215
085004-7,313,2024,9,1,189,ASTON MARTIN,6342,Vantage 6.0 V12 510cv,2012,1,G,Gasolina,483559
085002-0,313,2024,9,1,189,ASTON MARTIN,6343,Vantage Coupe 4.7 V8 425cv,2011,1,G,Gasolina,531194
008004-7,313,2024,9,1,6,Audi,51,80 S2 Avant,1995,1,G,Gasolina,22710
008177-9,313,2024,9,1,6,Audi,6293,A1 2.0 TFSI Quattro 256cv 3p,2013,1,G,Gasolina,137143
008174-4,313,2024,9,1,6,Audi,6201,A1 Sportback 1.4 TFSI 185cv 5p S-tronic,2015,1,G,Gasolina,74021
008173-6,313,2024,9,1,6,Audi,6200,A1 Sportback 1.4 TFSI 5p S-tronic,2018,1,G,Gasolina,107776
008032-2,313,2024,9,1,6,Audi,52,A3 1.6 3p,2003,1,G,Gasolina,20726
008032-2,313,2024,9,1,6,Audi,52,A3 1.6 3p,2002,1,G,Gasolina,17340
008032-2,313,2024,9,1,6,Audi,52,A3 1.6 3p,2001,1,G,Gasolina,16775
008040-3,313,2024,9,1,6,Audi,54,A3 1.6 5p,2002,1,G,Gasolina,20404
008041-1,313,2024,9,1,6,Audi,59,A3 1.8 5p Mec.,2002,1,G,Gasolina,20835
008041-1,313,2024,9,1,6,Audi,59,A3 1.8 5p Mec.,2001,1,G,Gasolina,20272
008041-1,313,2024,9,1,6,Audi,59,A3 1.8 5p Mec.,1999,1,G,Gasolina,18640
008074-8,313,2024,9,1,6,Audi,61,A3 1.8 Turbo 180cv 3p Mec.,2004,1,G,Gasolina,23049
008074-8,313,2024,9,1,6,Audi,61,A3 1.8 Turbo 180cv 3p Mec.,2003,1,G,Gasolina,22173
008074-8,313,2024,9,1,6,Audi,61,A3 1.8 Turbo 180cv 3p Mec.,2001,1,G,Gasolina,18431
008072-1,313,2024,9,1,6,Audi,63,A3 1.8 Turbo 180cv 5p Mec.,2006,1,G,Gasolina,34050
008072-1,313,2024,9,1,6,Audi,63,A3 1.8 Turbo 180cv 5p Mec.,2004,1,G,Gasolina,26573
008072-1,313,2024,9,1,6,Audi,63,A3 1.8 Turbo 180cv 5p Mec.,2003,1,G,Gasolina,25924
008072-1,313,2024,9,1,6,Audi,63,A3 1.8 Turbo 180cv 5p Mec.,2002,1,G,Gasolina,24091
008072-1,313,2024,9,1,6,Audi,63,A3 1.8 Turbo 180cv 5p Mec.,2000,1,G,Gasolina,22929
008044-6,313,2024,9,1,6,Audi,67,A3 1.8 Turbo 5p Mec.,2006,1,G,Gasolina,34195
008044-6,313,2024,9,1,6,Audi,67,A3 1.8 Turbo 5p Mec.,2004,1,G,Gasolina,25896
008044-6,313,2024,9,1,6,Audi,67,A3 1.8 Turbo 5p Mec.,2003,1,G,Gasolina,25264
008044-6,313,2024,9,1,6,Audi,67,A3 1.8 Turbo 5p Mec.,2001,1,G,Gasolina,21575
008256-2,313,2024,9,1,6,Audi,10195,A3 Sed.Perf. Black 2.0 TFSI S-tr. (Hib.),2022,1,G,Gasolina,227083
008256-2,313,2024,9,1,6,Audi,10195,A3 Sed.Perf. Black 2.0 TFSI S-tr. (Hib.),2021,1,G,Gasolina,199361
008256-2,313,2024,9,1,6,Audi,10195,A3 Sed.Perf. Black 2.0 TFSI S-tr. (Hib.),2020,1,G,Gasolina,173755
008192-2,313,2024,9,1,6,Audi,6768,A3 Sedan 1.4/ Attra. 16V TB FSI S-tronic,2016,1,G,Gasolina,77186
008234-1,313,2024,9,1,6,Audi,8561,A3 Sedan Prestige 1.4 TFSI Flex Tip.,2019,1,G,Gasolina,105724
008181-7,313,2024,9,1,6,Audi,6461,A3 Sport 1.8 16V TFSI S-tronic 3p,2013,1,G,Gasolina,79243
008138-8,313,2024,9,1,6,Audi,5125,A3 Sport 2.0 16V TFSI S- tronic,2013,1,G,Gasolina,78914
008138-8,313,2024,9,1,6,Audi,5125,A3 Sport 2.0 16V TFSI S- tronic,2012,1,G,Gasolina,70084
008138-8,313,2024,9,1,6,Audi,5125,A3 Sport 2.0 16V TFSI S- tronic,2010,1,G,Gasolina,58547
008278-3,313,2024,9,1,6,Audi,9965,A3 Sportb. S-Line 2.0 TFSI S-Tron.(Híb.),2022,1,G,Gasolina,210772
008184-1,313,2024,9,1,6,Audi,6510,A3 Sportback 1.4 TFSI S-tronic,2018,1,G,Gasolina,101538
008184-1,313,2024,9,1,6,Audi,6510,A3 Sportback 1.4 TFSI S-tronic,2016,1,G,Gasolina,79122
008184-1,313,2024,9,1,6,Audi,6510,A3 Sportback 1.4 TFSI S-tronic,2015,1,G,Gasolina,73841
008118-3,313,2024,9,1,6,Audi,4156,A3 Sportback 2.0 16V TFSI Mec.,2008,1,G,Gasolina,47545
008007-1,313,2024,9,1,6,Audi,69,A4 1.8  Mec.,1999,1,G,Gasolina,17548
008007-1,313,2024,9,1,6,Audi,69,A4 1.8  Mec.,1997,1,G,Gasolina,15781
008048-9,313,2024,9,1,6,Audi,70,A4 1.8 Avant Aut.,2000,1,G,Gasolina,21475
008048-9,313,2024,9,1,6,Audi,70,A4 1.8 Avant Aut.,1999,1,G,Gasolina,20782
008009-8,313,2024,9,1,6,Audi,71,A4 1.8 Avant Mec.,1999,1,G,Gasolina,19066
008009-8,313,2024,9,1,6,Audi,71,A4 1.8 Avant Mec.,1998,1,G,Gasolina,17321
008010-1,313,2024,9,1,6,Audi,72,A4 1.8 Avant Turbo Mec.,2000,1,G,Gasolina,21651
008010-1,313,2024,9,1,6,Audi,72,A4 1.8 Avant Turbo Mec.,1999,1,G,Gasolina,20985
008008-0,313,2024,9,1,6,Audi,74,A4 1.8 Tip./ Multitronic Turbo,2016,1,G,Gasolina,93230
008008-0,313,2024,9,1,6,Audi,74,A4 1.8 Tip./ Multitronic Turbo,2008,1,G,Gasolina,46790
008008-0,313,2024,9,1,6,Audi,74,A4 1.8 Tip./ Multitronic Turbo,2007,1,G,Gasolina,39428
008008-0,313,2024,9,1,6,Audi,74,A4 1.8 Tip./ Multitronic Turbo,2006,1,G,Gasolina,38317
008008-0,313,2024,9,1,6,Audi,74,A4 1.8 Tip./ Multitronic Turbo,2002,1,G,Gasolina,25350
008008-0,313,2024,9,1,6,Audi,74,A4 1.8 Tip./ Multitronic Turbo,1997,1,G,Gasolina,16176
008070-5,313,2024,9,1,6,Audi,75,A4 1.8 Turbo,2000,1,G,Gasolina,20408
008170-1,313,2024,9,1,6,Audi,6144,A4 2.0 16V TFSI Quattro Stronic,2014,1,G,Gasolina,74996
008170-1,313,2024,9,1,6,Audi,6144,A4 2.0 16V TFSI Quattro Stronic,2013,1,G,Gasolina,68506
008101-9,313,2024,9,1,6,Audi,76,A4 2.0 20V 130cv Multitronic 4p,2003,1,G,Gasolina,22629
008101-9,313,2024,9,1,6,Audi,76,A4 2.0 20V 130cv Multitronic 4p,2002,1,G,Gasolina,20850
008171-0,313,2024,9,1,6,Audi,6145,A4 2.0 Avant 16V TFSI Quattro Stronic,2014,1,G,Gasolina,84221
008171-0,313,2024,9,1,6,Audi,6145,A4 2.0 Avant 16V TFSI Quattro Stronic,2013,1,G,Gasolina,82166
008211-2,313,2024,9,1,6,Audi,7750,A4 2.0 Avant Ambie. 2.0 16V TFSi S tron.,2017,1,G,Gasolina,140843
008133-7,313,2024,9,1,6,Audi,4844,A4 2.0 Avant TFSI 183/180cv Multitroni,2012,1,G,Gasolina,68606
008133-7,313,2024,9,1,6,Audi,4844,A4 2.0 Avant TFSI 183/180cv Multitroni,2011,1,G,Gasolina,65255
008133-7,313,2024,9,1,6,Audi,4844,A4 2.0 Avant TFSI 183/180cv Multitroni,2009,1,G,Gasolina,55723
008021-7,313,2024,9,1,6,Audi,78,A4 2.4 30V Avant Tip./Multitronic,2000,1,G,Gasolina,26020
008023-3,313,2024,9,1,6,Audi,86,A4 2.8 30V  Tiptronic/ Aut.,2001,1,G,Gasolina,24415
008023-3,313,2024,9,1,6,Audi,86,A4 2.8 30V  Tiptronic/ Aut.,2000,1,G,Gasolina,23115
008023-3,313,2024,9,1,6,Audi,86,A4 2.8 30V  Tiptronic/ Aut.,1999,1,G,Gasolina,21596
008023-3,313,2024,9,1,6,Audi,86,A4 2.8 30V  Tiptronic/ Aut.,1998,1,G,Gasolina,21069
008023-3,313,2024,9,1,6,Audi,86,A4 2.8 30V  Tiptronic/ Aut.,1997,1,G,Gasolina,19850
008022-5,313,2024,9,1,6,Audi,87,A4 2.8 30V Mec.,2001,1,G,Gasolina,23029
008022-5,313,2024,9,1,6,Audi,87,A4 2.8 30V Mec.,2000,1,G,Gasolina,22467
008087-0,313,2024,9,1,6,Audi,90,A4 2.8 Avant V6 30V Quattro Mec.,2001,1,G,Gasolina,26418
008088-8,313,2024,9,1,6,Audi,91,A4 2.8 Avant V6 30V Quattro Tiptronic,2001,1,G,Gasolina,31559
008055-1,313,2024,9,1,6,Audi,92,A4 2.8 Avant V6 30V Tiptronic,2001,1,G,Gasolina,29907
008055-1,313,2024,9,1,6,Audi,92,A4 2.8 Avant V6 30V Tiptronic,1998,1,G,Gasolina,23809
008085-3,313,2024,9,1,6,Audi,93,A4 2.8 V6 30V  Quattro Tiptronic,2001,1,G,Gasolina,24386
008107-8,313,2024,9,1,6,Audi,97,A4 3.0 Avant 30V 218cv Multitronic 5p,2006,1,G,Gasolina,44708
008107-8,313,2024,9,1,6,Audi,97,A4 3.0 Avant 30V 218cv Multitronic 5p,2005,1,G,Gasolina,43434
008107-8,313,2024,9,1,6,Audi,97,A4 3.0 Avant 30V 218cv Multitronic 5p,2004,1,G,Gasolina,37341
008107-8,313,2024,9,1,6,Audi,97,A4 3.0 Avant 30V 218cv Multitronic 5p,2003,1,G,Gasolina,31559
008107-8,313,2024,9,1,6,Audi,97,A4 3.0 Avant 30V 218cv Multitronic 5p,2002,1,G,Gasolina,30789
008108-6,313,2024,9,1,6,Audi,99,A4 3.0 Cabriolet 30V 218cv Multitronic,2004,1,G,Gasolina,105954
008108-6,313,2024,9,1,6,Audi,99,A4 3.0 Cabriolet 30V 218cv Multitronic,2003,1,G,Gasolina,103369
008130-2,313,2024,9,1,6,Audi,4731,A4 3.2 FSI 24V 269cv Quattro Tiptronic,2011,1,G,Gasolina,73758
008130-2,313,2024,9,1,6,Audi,4731,A4 3.2 FSI 24V 269cv Quattro Tiptronic,2009,1,G,Gasolina,58621
008135-3,313,2024,9,1,6,Audi,4935,A4 3.2 FSI Avant 24V Quattro S Tronic,2011,1,G,Gasolina,81261
008135-3,313,2024,9,1,6,Audi,4935,A4 3.2 FSI Avant 24V Quattro S Tronic,2009,1,G,Gasolina,61751
008209-0,313,2024,9,1,6,Audi,7717,A4 Ambiente 2.0 TFSI 190cv S tronic,2017,1,G,Gasolina,117279
008212-0,313,2024,9,1,6,Audi,7894,A4 Ambition 2.0 TFSI Quattro S tronic,2017,1,G,Gasolina,121753
008246-5,313,2024,9,1,6,Audi,8769,A4 Avant Prest. Plus 2.0 TFSI S-tronic,2019,1,G,Gasolina,172528
008222-8,313,2024,9,1,6,Audi,8229,A4 Limited Edition 2.0 TFSI S tronic,2018,1,G,Gasolina,138512
008247-3,313,2024,9,1,6,Audi,9894,A4 Prestige 2.0 TFSI S-tronic,2019,1,G,Gasolina,150144
008281-3,313,2024,9,1,6,Audi,9824,A4 S Line 2.0  TFSI 204cv S Tonic,32000,1,G,Gasolina,339000
008281-3,313,2024,9,1,6,Audi,9824,A4 S Line 2.0  TFSI 204cv S Tonic,2024,1,G,Gasolina,292441
008281-3,313,2024,9,1,6,Audi,9824,A4 S Line 2.0  TFSI 204cv S Tonic,2023,1,G,Gasolina,245985
008139-6,313,2024,9,1,6,Audi,5126,A5 3.2 FSI V6 24V 269cv Quattro Tiptroni,2011,1,G,Gasolina,88977
008216-3,313,2024,9,1,6,Audi,8000,A5 Ambit. Plus Sport. 2.0 TFSI S tronic,2018,1,G,Gasolina,178390
008217-1,313,2024,9,1,6,Audi,8001,A5 Ambit. Sport. 2.0 TFSI S tronic,2018,1,G,Gasolina,166298
008164-7,313,2024,9,1,6,Audi,6083,A5 Coupê 2.0 TFSI Quattro Stronic,2014,1,G,Gasolina,104770
008169-8,313,2024,9,1,6,Audi,6084,A5 Sportb. 2.0 16V TFSI Quat. S-tronic,2016,1,G,Gasolina,101999
008169-8,313,2024,9,1,6,Audi,6084,A5 Sportb. 2.0 16V TFSI Quat. S-tronic,2013,1,G,Gasolina,92983
008300-3,313,2024,9,1,6,Audi,11038,A5 Sportb. Advanc. 2.0 TFSI Quatt. (Híb),32000,1,G,Gasolina,358841
008230-9,313,2024,9,1,6,Audi,8564,A5 Sportb. Perf. 2.0 TFSI Quat. S-tronic,2019,1,G,Gasolina,216824
008232-5,313,2024,9,1,6,Audi,8565,A5 Sportb. Prestige 2.0 16V TFSI S-troni,2019,1,G,Gasolina,179643
008231-7,313,2024,9,1,6,Audi,8567,A5 Sportb.Prestige Plus 2.0 TFSI S-tronc,2022,1,G,Gasolina,253125
008231-7,313,2024,9,1,6,Audi,8567,A5 Sportb.Prestige Plus 2.0 TFSI S-tronc,2021,1,G,Gasolina,227198
008231-7,313,2024,9,1,6,Audi,8567,A5 Sportb.Prestige Plus 2.0 TFSI S-tronc,2019,1,G,Gasolina,181401
008249-0,313,2024,9,1,6,Audi,8772,A5 Sportback S-Line 2.0 TFSI S-tronic,2023,1,G,Gasolina,299901
008200-7,313,2024,9,1,6,Audi,7254,A6 2.0 TFSI 252cv S tronic 4p,2015,1,G,Gasolina,116290
008090-0,313,2024,9,1,6,Audi,107,A6 2.4 V6 30V Quattro Tiptronic,2001,1,G,Gasolina,28985
008059-4,313,2024,9,1,6,Audi,108,A6 2.7 30V Avant Tiptronic,2001,1,G,Gasolina,32723
008059-4,313,2024,9,1,6,Audi,108,A6 2.7 30V Avant Tiptronic,2000,1,G,Gasolina,31824
008012-8,313,2024,9,1,6,Audi,112,A6 2.8,1996,1,G,Gasolina,20040
008026-8,313,2024,9,1,6,Audi,113,A6 2.8 30V Mec.,2000,1,G,Gasolina,25800
008026-8,313,2024,9,1,6,Audi,113,A6 2.8 30V Mec.,1997,1,G,Gasolina,17539
008027-6,313,2024,9,1,6,Audi,114,A6 2.8 30V Tiptronic,2000,1,G,Gasolina,40759
008027-6,313,2024,9,1,6,Audi,114,A6 2.8 30V Tiptronic,1998,1,G,Gasolina,38286
008027-6,313,2024,9,1,6,Audi,114,A6 2.8 30V Tiptronic,1997,1,G,Gasolina,26563
008013-6,313,2024,9,1,6,Audi,115,A6 2.8 Avant,1997,1,G,Gasolina,19960
008053-5,313,2024,9,1,6,Audi,116,A6 2.8 Avant 30V Mec.,1999,1,G,Gasolina,24997
008054-3,313,2024,9,1,6,Audi,117,A6 2.8 Avant 30V Tiptronic,2001,1,G,Gasolina,34654
008054-3,313,2024,9,1,6,Audi,117,A6 2.8 Avant 30V Tiptronic,1998,1,G,Gasolina,30590
008105-1,313,2024,9,1,6,Audi,122,A6 3.0 Avant V6 30V 218cv Multitronic 5p,2003,1,G,Gasolina,30821
008103-5,313,2024,9,1,6,Audi,123,A6 3.0 V6 30V 218cv Multitronic 4p,2005,1,G,Gasolina,40950
008061-6,313,2024,9,1,6,Audi,124,A6 4.2 Avant Quattro Tiptronic,2001,1,G,Gasolina,47943
008180-9,313,2024,9,1,6,Audi,6462,A6 Allroad 3.0 TFSI V6 Quattro S tronic,2017,1,G,Gasolina,225812
008180-9,313,2024,9,1,6,Audi,6462,A6 Allroad 3.0 TFSI V6 Quattro S tronic,2016,1,G,Gasolina,220304
008268-6,313,2024,9,1,6,Audi,9319,A7 SP.b. Perf. Bla. 3.0 TFSI Quat. S-tro,2022,1,G,Gasolina,476765
008154-0,313,2024,9,1,6,Audi,5549,A7 Sportback 3.0 TFSI Quattro S Tronic,2014,1,G,Gasolina,147785
008156-6,313,2024,9,1,6,Audi,5717,A8 6.3 W12 48V Quattro Tiptronic,2016,1,G,Gasolina,577580
008295-3,313,2024,9,1,6,Audi,10814,E-TRON GT Aut. (Elétrico),2023,1,G,Gasolina,678259
008258-9,313,2024,9,1,6,Audi,9077,E-TRON Performa. Black Aut. (Elétrico),2021,1,G,Gasolina,369903
008259-7,313,2024,9,1,6,Audi,9187,E-TRON Sportback Perf. Aut. (Elétrico),2020,1,G,Gasolina,381162
008159-0,313,2024,9,1,6,Audi,6044,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2013,1,G,Gasolina,82936
008283-0,313,2024,9,1,6,Audi,9835,Q3 SPB Perf. Black 2.0 TFSI Tipt. Quat.,32000,1,G,Gasolina,379332
008283-0,313,2024,9,1,6,Audi,9835,Q3 SPB Perf. Black 2.0 TFSI Tipt. Quat.,2022,1,G,Gasolina,275526
008224-4,313,2024,9,1,6,Audi,8231,Q5 2.0 TFSI Quattro S tronic (Blindado),2020,1,G,Gasolina,253687
008137-0,313,2024,9,1,6,Audi,4959,Q5 3.2 FSI V6 Quattro S Tronic,2012,1,G,Gasolina,75855
008137-0,313,2024,9,1,6,Audi,4959,Q5 3.2 FSI V6 Quattro S Tronic,2010,1,G,Gasolina,70861
008218-0,313,2024,9,1,6,Audi,8037,Q5 Ambition 2.0 TFSI Quattro S tronic,2018,1,G,Gasolina,175091
008240-6,313,2024,9,1,6,Audi,8583,Q5 Black 2.0 TFSI Quattro S tronic,2019,1,G,Gasolina,191415
008239-2,313,2024,9,1,6,Audi,8585,Q5 Prestige Plus 2.0 TFSI Quat. S tronic,2020,1,G,Gasolina,204562
008239-2,313,2024,9,1,6,Audi,8585,Q5 Prestige Plus 2.0 TFSI Quat. S tronic,2019,1,G,Gasolina,186696
008287-2,313,2024,9,1,6,Audi,10047,Q5 SB P Black. 2.0 TFSIe S.Tr. Qt (Hib.),32000,1,G,Gasolina,511720
008286-4,313,2024,9,1,6,Audi,10048,Q5 SB Perf. 2.0 TFSIe S.Tr. Qt (Hib.),2022,1,G,Gasolina,335537
008272-4,313,2024,9,1,6,Audi,9526,Q5 SPB. S-Line Black 2.0 TFSI Qua.S-Tron,2022,1,G,Gasolina,324925
008152-3,313,2024,9,1,6,Audi,10049,Q7 3.0 V6 TFSI  Quat.Tip.5p/ Perf.(Híb.),2023,1,G,Gasolina,530385
008152-3,313,2024,9,1,6,Audi,10049,Q7 3.0 V6 TFSI  Quat.Tip.5p/ Perf.(Híb.),2021,1,G,Gasolina,365963
008152-3,313,2024,9,1,6,Audi,10049,Q7 3.0 V6 TFSI  Quat.Tip.5p/ Perf.(Híb.),2016,1,G,Gasolina,205354
008147-7,313,2024,9,1,6,Audi,5235,R8 4.2 V8 426cv Quattro R-tronic,2010,1,G,Gasolina,435677
008274-0,313,2024,9,1,6,Audi,9606,RS E-TRON GT Quattro Aut. (Elétrico),2022,1,G,Gasolina,610201
008262-7,313,2024,9,1,6,Audi,9224,RS Q8 4.0 Bi-TB V8 FSI Quattro Tiptronic,2022,1,G,Gasolina,1029322
008262-7,313,2024,9,1,6,Audi,9224,RS Q8 4.0 Bi-TB V8 FSI Quattro Tiptronic,2021,1,G,Gasolina,857990
