fipe_cod,tabela_id,anoref,mesref,tipo,marca_id,marca,modelo_id,modelo,anomod,comb_cod,comb_sigla,comb,valor
008264-3,318,2025,2,1,6,Audi,9223,A4 Perfor. Black 2.0 TFSI Quat. S tronic,2022,1,G,Gasolina,243949
008264-3,318,2025,2,1,6,Audi,9223,A4 Perfor. Black 2.0 TFSI Quat. S tronic,2021,1,G,Gasolina,197221
008302-0,318,2025,2,1,6,Audi,11036,A4 Prestige 2.0 16V TFSI Quattro (Híb.),32000,1,G,Gasolina,339069
008302-0,318,2025,2,1,6,Audi,11036,A4 Prestige 2.0 16V TFSI Quattro (Híb.),2025,1,G,Gasolina,314161
008302-0,318,2025,2,1,6,Audi,11036,A4 Prestige 2.0 16V TFSI Quattro (Híb.),2024,1,G,Gasolina,305336
008247-3,318,2025,2,1,6,Audi,9894,A4 Prestige 2.0 TFSI S-tronic,2024,1,G,Gasolina,260122
008247-3,318,2025,2,1,6,Audi,9894,A4 Prestige 2.0 TFSI S-tronic,2023,1,G,Gasolina,212907
008247-3,318,2025,2,1,6,Audi,9894,A4 Prestige 2.0 TFSI S-tronic,2022,1,G,Gasolina,187370
008247-3,318,2025,2,1,6,Audi,9894,A4 Prestige 2.0 TFSI S-tronic,2021,1,G,Gasolina,163165
008054-3,318,2025,2,1,6,Audi,117,A6 2.8 Avant 30V Tiptronic,2000,1,G,Gasolina,33423
008103-5,318,2025,2,1,6,Audi,123,A6 3.0 V6 30V 218cv Multitronic 4p,2002,1,G,Gasolina,29129
008248-1,318,2025,2,1,6,Audi,8773,Q5 S-Line 2.0 TFSI Quattro S-tronic,2020,1,G,Gasolina,192079
008189-2,318,2025,2,1,6,Audi,10227,RS6 4.0 Avant TFSI BI-TB Quat.Tip.(Hib.),2021,1,G,Gasolina,811279
008189-2,318,2025,2,1,6,Audi,10227,RS6 4.0 Avant TFSI BI-TB Quat.Tip.(Hib.),2016,1,G,Gasolina,410228
008191-4,318,2025,2,1,6,Audi,6769,S Q5 3.0 V6 TFSI 354cv Quattro Tiptronic,2014,1,G,Gasolina,130819
008126-4,318,2025,2,1,6,Audi,4330,TT 2.0 16v TFSI S-Tronic,2012,1,G,Gasolina,147195
