fipe_cod,tabela_id,anoref,mesref,tipo,marca_id,marca,modelo_id,modelo,anomod,comb_cod,comb_sigla,comb,valor
008047-0,314,2024,10,1,6,Audi,68,A4 1.8  Aut.,1997,1,G,Gasolina,17046
008010-1,314,2024,10,1,6,Audi,72,A4 1.8 Avant Turbo Mec.,1997,1,G,Gasolina,17481
008132-9,314,2024,10,1,6,Audi,4843,A4 2.0 16V TFSI 183/180cv Multitronic,2010,1,G,Gasolina,54756
008133-7,314,2024,10,1,6,Audi,4844,A4 2.0 Avant TFSI 183/180cv Multitroni,2010,1,G,Gasolina,58774
008022-5,314,2024,10,1,6,Audi,87,A4 2.8 30V Mec.,1999,1,G,Gasolina,19820
008026-8,314,2024,10,1,6,Audi,113,A6 2.8 30V Mec.,2001,1,G,Gasolina,26218
008156-6,314,2024,10,1,6,Audi,5717,A8 6.3 W12 48V Quattro Tiptronic,2015,1,G,Gasolina,481917
008156-6,314,2024,10,1,6,Audi,5717,A8 6.3 W12 48V Quattro Tiptronic,2014,1,G,Gasolina,441537
008156-6,314,2024,10,1,6,Audi,5717,A8 6.3 W12 48V Quattro Tiptronic,2013,1,G,Gasolina,408724
008156-6,314,2024,10,1,6,Audi,5717,A8 6.3 W12 48V Quattro Tiptronic,2012,1,G,Gasolina,320775
008079-9,314,2024,10,1,6,Audi,128,Allroad 2.7 30V Quattro Turbo Tiptronic,2005,1,G,Gasolina,53097
008079-9,314,2024,10,1,6,Audi,128,Allroad 2.7 30V Quattro Turbo Tiptronic,2004,1,G,Gasolina,51801
008079-9,314,2024,10,1,6,Audi,128,Allroad 2.7 30V Quattro Turbo Tiptronic,2003,1,G,Gasolina,50537
008079-9,314,2024,10,1,6,Audi,128,Allroad 2.7 30V Quattro Turbo Tiptronic,2002,1,G,Gasolina,49304
008079-9,314,2024,10,1,6,Audi,128,Allroad 2.7 30V Quattro Turbo Tiptronic,2001,1,G,Gasolina,45239
008015-2,314,2024,10,1,6,Audi,129,Avant RS2,1995,1,G,Gasolina,159630
008295-3,314,2024,10,1,6,Audi,10814,E-TRON GT Aut. (Elétrico),32000,1,G,Gasolina,765977
008295-3,314,2024,10,1,6,Audi,10814,E-TRON GT Aut. (Elétrico),2024,1,G,Gasolina,716728
008127-2,314,2024,10,1,6,Audi,4431,TT Roadster 2.0 16v TFSI S-Tronic,2009,1,G,Gasolina,140096
040002-5,314,2024,10,1,207,Baby,8275,Buggy 1.6/ TST/ RS 1.6 4-Lug.,2018,1,G,Gasolina,28389
040002-5,314,2024,10,1,207,Baby,8275,Buggy 1.6/ TST/ RS 1.6 4-Lug.,1994,1,G,Gasolina,4292
009093-0,314,2024,10,1,7,BMW,191,330Ci Cabriolet,2001,1,G,Gasolina,66358
009089-1,314,2024,10,1,7,BMW,195,330iA Top 4p,2005,1,G,Gasolina,66936
009089-1,314,2024,10,1,7,BMW,195,330iA Top 4p,2002,1,G,Gasolina,59224
009182-0,314,2024,10,1,7,BMW,9957,335i 3.0 Active 3 (Híbrido),2014,1,G,Gasolina,173291
009122-7,314,2024,10,1,7,BMW,4272,335iA 3.0 24V 306cv,2012,1,G,Gasolina,124343
009122-7,314,2024,10,1,7,BMW,4272,335iA 3.0 24V 306cv,2011,1,G,Gasolina,109489
009122-7,314,2024,10,1,7,BMW,4272,335iA 3.0 24V 306cv,2010,1,G,Gasolina,101406
009122-7,314,2024,10,1,7,BMW,4272,335iA 3.0 24V 306cv,2009,1,G,Gasolina,98932
009122-7,314,2024,10,1,7,BMW,4272,335iA 3.0 24V 306cv,2008,1,G,Gasolina,91746
009124-3,314,2024,10,1,7,BMW,4416,335iA Cabriolet 3.0 24V 306cv,2012,1,G,Gasolina,234189
009124-3,314,2024,10,1,7,BMW,4416,335iA Cabriolet 3.0 24V 306cv,2011,1,G,Gasolina,221901
009124-3,314,2024,10,1,7,BMW,4416,335iA Cabriolet 3.0 24V 306cv,2010,1,G,Gasolina,216488
009124-3,314,2024,10,1,7,BMW,4416,335iA Cabriolet 3.0 24V 306cv,2009,1,G,Gasolina,194571
009170-7,314,2024,10,1,7,BMW,6148,335iA Sport 3.0 24V 306cv 4p,2012,1,G,Gasolina,145655
009007-7,314,2024,10,1,7,BMW,197,525i/iA,1994,1,G,Gasolina,21036
009008-5,314,2024,10,1,7,BMW,199,528i/iA,1996,1,G,Gasolina,26281
009183-9,314,2024,10,1,7,BMW,6514,528iA M Sport 2.0 Turbo 16V 245cv 4p,2015,1,G,Gasolina,119544
009226-6,314,2024,10,1,7,BMW,7918,530i M Sport 2.0 Turbo 252cv Aut.,2018,1,G,Gasolina,223171
009010-7,314,2024,10,1,7,BMW,205,540i,1999,1,G,Gasolina,33511
009010-7,314,2024,10,1,7,BMW,205,540i,1994,1,G,Gasolina,20922
009225-8,314,2024,10,1,7,BMW,7919,540i M Sport 3.0 Turbo 340cv Aut.,2019,1,G,Gasolina,264663
009052-2,314,2024,10,1,7,BMW,210,540iTA,1997,1,G,Gasolina,32009
009166-9,314,2024,10,1,7,BMW,6150,650iA 4.4 407cv Bi-Turbo,2012,1,G,Gasolina,230493
009027-1,314,2024,10,1,7,BMW,217,740iA,1997,1,G,Gasolina,39350
009012-3,314,2024,10,1,7,BMW,221,750i,1995,1,G,Gasolina,27901
009099-9,314,2024,10,1,7,BMW,224,760iL 6.0 V12 445cv/544cv,2010,1,G,Gasolina,213869
009099-9,314,2024,10,1,7,BMW,224,760iL 6.0 V12 445cv/544cv,2005,1,G,Gasolina,142794
009253-3,314,2024,10,1,7,BMW,8818,i3 Bev Connected 170cv Aut. (Elétrico),2020,1,G,Gasolina,189288
009197-9,314,2024,10,1,7,BMW,10019,i8 e-Drive 1.5 TB 12V  Aut. (Híbrido),2016,1,G,Gasolina,629666
009318-1,314,2024,10,1,7,BMW,11103,iX 1 eDrive20 X-Line Aut. (Elétrico),32000,1,G,Gasolina,362417
009014-0,314,2024,10,1,7,BMW,234,M3 Coupê 3.0 24V 255cv,1992,1,G,Gasolina,17679
009127-8,314,2024,10,1,7,BMW,4527,M3 Coupê 4.0 32V,2012,1,G,Gasolina,376892
009173-1,314,2024,10,1,7,BMW,6260,M5 4.4 560cv Bi-Turbo Aut.,2014,1,G,Gasolina,278541
009100-6,314,2024,10,1,7,BMW,241,X3 Sport 3.0 24V 231cv,2005,1,G,Gasolina,39892
009151-0,314,2024,10,1,7,BMW,5497,X3 XDRIVE 35i/M-Sport 3.0 306cv Bi-Turbo,2012,1,G,Gasolina,88273
009214-2,314,2024,10,1,7,BMW,7283,X5 XDRIVE 30d 3.0 Diesel,2018,3,D,Diesel,243378
009153-7,314,2024,10,1,7,BMW,5590,X5 XDRIVE 50i Security 4.4 Bi-Turbo,2011,1,G,Gasolina,132232
009144-8,314,2024,10,1,7,BMW,5189,X6 M 4.4 4x4 V8 32V Bi-Turbo Aut.,2019,1,G,Gasolina,434346
009144-8,314,2024,10,1,7,BMW,5189,X6 M 4.4 4x4 V8 32V Bi-Turbo Aut.,2018,1,G,Gasolina,410716
009144-8,314,2024,10,1,7,BMW,5189,X6 M 4.4 4x4 V8 32V Bi-Turbo Aut.,2017,1,G,Gasolina,343442
009144-8,314,2024,10,1,7,BMW,5189,X6 M 4.4 4x4 V8 32V Bi-Turbo Aut.,2016,1,G,Gasolina,279059
009144-8,314,2024,10,1,7,BMW,5189,X6 M 4.4 4x4 V8 32V Bi-Turbo Aut.,2015,1,G,Gasolina,228561
009144-8,314,2024,10,1,7,BMW,5189,X6 M 4.4 4x4 V8 32V Bi-Turbo Aut.,2014,1,G,Gasolina,176486
009144-8,314,2024,10,1,7,BMW,5189,X6 M 4.4 4x4 V8 32V Bi-Turbo Aut.,2013,1,G,Gasolina,153104
009144-8,314,2024,10,1,7,BMW,5189,X6 M 4.4 4x4 V8 32V Bi-Turbo Aut.,2012,1,G,Gasolina,137125
009144-8,314,2024,10,1,7,BMW,5189,X6 M 4.4 4x4 V8 32V Bi-Turbo Aut.,2011,1,G,Gasolina,130816
009144-8,314,2024,10,1,7,BMW,5189,X6 M 4.4 4x4 V8 32V Bi-Turbo Aut.,2010,1,G,Gasolina,125775
009311-4,314,2024,10,1,7,BMW,10788,X6 M Competition 4.4 V8 BI-TB (Hib) Aut.,32000,1,G,Gasolina,1238985
009311-4,314,2024,10,1,7,BMW,10788,X6 M Competition 4.4 V8 BI-TB (Hib) Aut.,2025,1,G,Gasolina,1147360
009311-4,314,2024,10,1,7,BMW,10788,X6 M Competition 4.4 V8 BI-TB (Hib) Aut.,2024,1,G,Gasolina,1117810
009285-1,314,2024,10,1,7,BMW,9565,X6 M Competition 4.4 V8 BI-TB 625CV Aut.,32000,1,G,Gasolina,1193283
009285-1,314,2024,10,1,7,BMW,9565,X6 M Competition 4.4 V8 BI-TB 625CV Aut.,2024,1,G,Gasolina,1049216
009263-0,314,2024,10,1,7,BMW,9037,X6 XDRIVE 40i M Sport 3.0 Bi-Turbo,2023,1,G,Gasolina,639200
009263-0,314,2024,10,1,7,BMW,9037,X6 XDRIVE 40i M Sport 3.0 Bi-Turbo,2020,1,G,Gasolina,519466
009132-4,314,2024,10,1,7,BMW,4746,X6 XDRIVE 50i 4.4 407cv Bi-Turbo,2010,1,G,Gasolina,125407
009139-1,314,2024,10,1,7,BMW,4997,Z4 Roadster sDRIVE 35i 3.0 24V 306cv 2p,2014,1,G,Gasolina,249572
009139-1,314,2024,10,1,7,BMW,4997,Z4 Roadster sDRIVE 35i 3.0 24V 306cv 2p,2012,1,G,Gasolina,222897
009139-1,314,2024,10,1,7,BMW,4997,Z4 Roadster sDRIVE 35i 3.0 24V 306cv 2p,2010,1,G,Gasolina,212156
009098-0,314,2024,10,1,7,BMW,252,Z4 Roadster Sport 3.0 24V 231cv Aut.,2003,1,G,Gasolina,112951
039002-0,314,2024,10,1,8,BRM,255,Buggy W. Turing/Luxo/M-11 Absolut 1.6 8V,2017,1,G,Gasolina,58806
039002-0,314,2024,10,1,8,BRM,255,Buggy W. Turing/Luxo/M-11 Absolut 1.6 8V,2010,1,G,Gasolina,49732
062001-7,314,2024,10,1,123,Bugre,4053,Buggy IV e V,2003,1,G,Gasolina,6532
062001-7,314,2024,10,1,123,Bugre,4053,Buggy IV e V,1996,1,G,Gasolina,5311
062001-7,314,2024,10,1,123,Bugre,4053,Buggy IV e V,1990,1,G,Gasolina,3248
062002-5,314,2024,10,1,123,Bugre,5190,Buggy VII/VII BIG/VII Flex,2023,1,G,Gasolina,56588
062002-5,314,2024,10,1,123,Bugre,5190,Buggy VII/VII BIG/VII Flex,2017,1,G,Gasolina,29114
093015-6,314,2024,10,1,245,Caoa Chery,10742,Tiggo 5X PRO Max Drive1.5 TB (Híbrido),2024,1,G,Gasolina,128479
093009-1,314,2024,10,1,245,Caoa Chery,10068,Tiggo 7 PRO 1.5 Turbo (Híbrido),2022,1,G,Gasolina,148046
073014-9,314,2024,10,1,161,Caoa Chery/Chery,7224,QQ 1.0  ACT FL 12V/1.0 12V Flex  5p,2017,1,G,Gasolina,29050
073010-6,314,2024,10,1,161,Caoa Chery/Chery,7089,QQ 1.0 ACT 12V 69cv 5p,2015,1,G,Gasolina,25788
064002-6,314,2024,10,1,136,CHANA,4392,Cargo 1.0 8V 53cv (Pick-Up),2007,1,G,Gasolina,10272
010021-8,314,2024,10,1,12,Chrysler,268,Grand Caravan Limited 3.3 V6 12V 182cv,2004,1,G,Gasolina,33898
010011-0,314,2024,10,1,12,Chrysler,272,Neon LE 1.8,1997,1,G,Gasolina,8305
010030-7,314,2024,10,1,12,Chrysler,4623,TOWN & COUNTRY Limited 3.8 /3.6 V6 Aut.,2012,1,G,Gasolina,77997
010013-7,314,2024,10,1,12,Chrysler,282,Vision 3.5 24V,1995,1,G,Gasolina,11536
011026-4,314,2024,10,1,13,Citroën,284,Berlingo MultSpace GLX 1.8i 3p,1998,1,G,Gasolina,8594
011170-8,314,2024,10,1,13,Citroën,7585,C3 Attraction Pure Tech 1.2 Flex 12V Mec,2016,1,G,Gasolina,39971
011107-4,314,2024,10,1,13,Citroën,5551,C3 Picasso Exclusive 1.6 Flex 16V 5p Mec,2015,1,G,Gasolina,41464
011107-4,314,2024,10,1,13,Citroën,5551,C3 Picasso Exclusive 1.6 Flex 16V 5p Mec,2014,1,G,Gasolina,39549
011107-4,314,2024,10,1,13,Citroën,5551,C3 Picasso Exclusive 1.6 Flex 16V 5p Mec,2013,1,G,Gasolina,35384
011107-4,314,2024,10,1,13,Citroën,5551,C3 Picasso Exclusive 1.6 Flex 16V 5p Mec,2012,1,G,Gasolina,31769
011198-8,314,2024,10,1,13,Citroën,8466,C4 CACTUS FEEL 1.6 16V Flex Aut.,2022,1,G,Gasolina,82343
011195-3,314,2024,10,1,13,Citroën,8472,C4 CACTUS SHINE Pack 1.6 Turbo Flex Aut.,2021,1,G,Gasolina,89166
011088-4,314,2024,10,1,13,Citroën,4397,C4 PAL.Excl/Excl(Tech.) 2.0/2.0 Flex Aut,2007,1,G,Gasolina,17652
011050-7,314,2024,10,1,13,Citroën,302,Jumper 2.8 16Lug.  Diesel,2002,3,D,Diesel,26688
011035-3,314,2024,10,1,13,Citroën,330,Xsara Break GLX/ Paris 2.0 16V,1999,1,G,Gasolina,8303
011074-4,314,2024,10,1,13,Citroën,345,Xsara Picasso Exclusive 2.0 16V Aut.,2009,1,G,Gasolina,19989
011075-2,314,2024,10,1,13,Citroën,348,Xsara Picasso GLX 2.0 16V  Aut.,2006,1,G,Gasolina,13285
011008-6,314,2024,10,1,13,Citroën,352,ZX Cupê 16V,1995,1,G,Gasolina,7992
013010-9,314,2024,10,1,17,Dodge,388,Avenger ES 2.0/2.5 16V,1994,1,G,Gasolina,9763
013008-7,314,2024,10,1,17,Dodge,404,Dakota Sport CE 2.5 Diesel,1999,3,D,Diesel,35070
013025-7,314,2024,10,1,17,Dodge,3931,Ram 2500 H.DUTY 5.9 SLT TDI CS 4x4 Dies.,2006,3,D,Diesel,127060
066011-6,314,2024,10,1,147,EFFA,5660,Plutus 3.2 8V 4x2 CD Turbo Diesel,2012,3,D,Diesel,34125
066011-6,314,2024,10,1,147,EFFA,5660,Plutus 3.2 8V 4x2 CD Turbo Diesel,2011,3,D,Diesel,31873
066010-8,314,2024,10,1,147,EFFA,5661,Start Picape CD 1.0 8V 5p,2014,1,G,Gasolina,22086
066010-8,314,2024,10,1,147,EFFA,5661,Start Picape CD 1.0 8V 5p,2012,1,G,Gasolina,17968
066010-8,314,2024,10,1,147,EFFA,5661,Start Picape CD 1.0 8V 5p,2011,1,G,Gasolina,14952
066008-6,314,2024,10,1,147,EFFA,5662,Start Picape L 1.0 8V 2p,2014,1,G,Gasolina,22893
066008-6,314,2024,10,1,147,EFFA,5662,Start Picape L 1.0 8V 2p,2012,1,G,Gasolina,21450
066008-6,314,2024,10,1,147,EFFA,5662,Start Picape L 1.0 8V 2p,2011,1,G,Gasolina,18156
066009-4,314,2024,10,1,147,EFFA,5663,Start Van 1.0 8V 4p,2012,1,G,Gasolina,17876
066009-4,314,2024,10,1,147,EFFA,5663,Start Van 1.0 8V 4p,2011,1,G,Gasolina,16062
066002-7,314,2024,10,1,147,EFFA,4638,ULC FURGÃO 1.0 8V 5p,2011,1,G,Gasolina,18204
066002-7,314,2024,10,1,147,EFFA,4638,ULC FURGÃO 1.0 8V 5p,2010,1,G,Gasolina,14331
001339-0,314,2024,10,1,21,Fiat,5446,Bravo ABSOLUTE 1.8 Flex 16V 5p,2011,1,G,Gasolina,28550
001167-3,314,2024,10,1,21,Fiat,452,Doblo EX 1.3 Fire 16V 80cv 4/5p,2002,1,G,Gasolina,17053
001283-1,314,2024,10,1,21,Fiat,5023,Ducato Cargo Longo 2.3 ME Diesel,2013,3,D,Diesel,85988
001288-2,314,2024,10,1,21,Fiat,5025,Ducato Maxi. Curta 2.3 T.Alto ME Diesel,2012,3,D,Diesel,75616
001286-6,314,2024,10,1,21,Fiat,5028,Ducato Minibus 2.3 T.Alto ME Diesel,2013,3,D,Diesel,102718
001286-6,314,2024,10,1,21,Fiat,5028,Ducato Minibus 2.3 T.Alto ME Diesel,2010,3,D,Diesel,72667
001022-7,314,2024,10,1,21,Fiat,470,Elba S 1.6/ 1.5ie / 1.5 / 1.3,1987,1,G,Gasolina,3718
001027-8,314,2024,10,1,21,Fiat,473,Fiorino Furg.1.5/1.3/1.3 Fire/1.3 F.Flex,2007,1,G,Gasolina,24065
001027-8,314,2024,10,1,21,Fiat,473,Fiorino Furg.1.5/1.3/1.3 Fire/1.3 F.Flex,1993,1,G,Gasolina,10107
001027-8,314,2024,10,1,21,Fiat,473,Fiorino Furg.1.5/1.3/1.3 Fire/1.3 F.Flex,1986,1,G,Gasolina,4808
001029-4,314,2024,10,1,21,Fiat,476,Fiorino Pick-Up 1.5 i.e./1.3/1.5/HD,1994,1,G,Gasolina,7920
001378-1,314,2024,10,1,21,Fiat,5925,Grand Siena ATTRAC. 1.4 EVO F.Flex 8V,2017,1,G,Gasolina,43395
001378-1,314,2024,10,1,21,Fiat,5925,Grand Siena ATTRAC. 1.4 EVO F.Flex 8V,2013,1,G,Gasolina,32410
001378-1,314,2024,10,1,21,Fiat,5925,Grand Siena ATTRAC. 1.4 EVO F.Flex 8V,2012,1,G,Gasolina,31040
001481-8,314,2024,10,1,21,Fiat,7824,Grand Siena ATTRACTIVE 1.0 Flex 8V 4p,2021,1,G,Gasolina,53000
001481-8,314,2024,10,1,21,Fiat,7824,Grand Siena ATTRACTIVE 1.0 Flex 8V 4p,2020,1,G,Gasolina,49380
001481-8,314,2024,10,1,21,Fiat,7824,Grand Siena ATTRACTIVE 1.0 Flex 8V 4p,2019,1,G,Gasolina,44126
001481-8,314,2024,10,1,21,Fiat,7824,Grand Siena ATTRACTIVE 1.0 Flex 8V 4p,2018,1,G,Gasolina,43049
001481-8,314,2024,10,1,21,Fiat,7824,Grand Siena ATTRACTIVE 1.0 Flex 8V 4p,2017,1,G,Gasolina,41869
001423-0,314,2024,10,1,21,Fiat,6955,Grand Siena ESSEN. ITALIA Dual. 1.6 Flex,2015,1,G,Gasolina,39494
001399-4,314,2024,10,1,21,Fiat,6488,Grand Siena ESSEN.SUBLIME 1.6 Flex,2018,1,G,Gasolina,44525
001399-4,314,2024,10,1,21,Fiat,6488,Grand Siena ESSEN.SUBLIME 1.6 Flex,2017,1,G,Gasolina,42521
001399-4,314,2024,10,1,21,Fiat,6488,Grand Siena ESSEN.SUBLIME 1.6 Flex,2016,1,G,Gasolina,40754
001399-4,314,2024,10,1,21,Fiat,6488,Grand Siena ESSEN.SUBLIME 1.6 Flex,2015,1,G,Gasolina,38542
001083-9,314,2024,10,1,21,Fiat,492,Marea Turbo 2.0 20V 4p,2000,1,G,Gasolina,23280
001461-3,314,2024,10,1,21,Fiat,7540,MOBI LIKE 1.0 Fire Flex 5p.,2019,1,G,Gasolina,43398
001176-2,314,2024,10,1,21,Fiat,505,Palio 1.0/ Trofeo 1.0 Fire/ Fire Flex 2p,2008,1,G,Gasolina,17615
