fipe_cod,tabela_id,anoref,mesref,tipo,marca_id,marca,modelo_id,modelo,anomod,comb_cod,comb_sigla,comb,valor
067001-4,310,2024,6,1,149,Fibravan,4659,Buggy Plus 1.6 8V,2019,1,G,Gasolina,40967
067001-4,310,2024,6,1,149,Fibravan,4659,Buggy Plus 1.6 8V,2018,1,G,Gasolina,37504
067001-4,310,2024,6,1,149,Fibravan,4659,Buggy Plus 1.6 8V,2017,1,G,Gasolina,31065
067001-4,310,2024,6,1,149,Fibravan,4659,Buggy Plus 1.6 8V,2016,1,G,Gasolina,28761
067001-4,310,2024,6,1,149,Fibravan,4659,Buggy Plus 1.6 8V,2013,1,G,Gasolina,23759
067001-4,310,2024,6,1,149,Fibravan,4659,Buggy Plus 1.6 8V,2006,1,G,Gasolina,9949
067001-4,310,2024,6,1,149,Fibravan,4659,Buggy Plus 1.6 8V,2000,1,G,Gasolina,5705
067001-4,310,2024,6,1,149,Fibravan,4659,Buggy Plus 1.6 8V,1994,1,G,Gasolina,4080
067003-0,310,2024,6,1,149,Fibravan,4660,Buggy Vip 1.6 8V Total Flex,2009,1,G,Gasolina,18679
003140-2,310,2024,6,1,22,Ford,670,Courier XL/XL-RS 1.6/ XL 1.6 Flex,2008,1,G,Gasolina,30745
003140-2,310,2024,6,1,22,Ford,670,Courier XL/XL-RS 1.6/ XL 1.6 Flex,2000,1,G,Gasolina,19401
003025-2,310,2024,6,1,22,Ford,676,Del Rey Ghia 1.8 / 1.6 2p e 4p,1985,1,G,Gasolina,3915
003438-0,310,2024,6,1,22,Ford,8004,EcoSport FREESTYLE 1.5 12V Flex 5p Aut.,2018,1,G,Gasolina,68718
003440-1,310,2024,6,1,22,Ford,8006,EcoSport SE 1.5 12V Flex 5p Aut.,2019,1,G,Gasolina,69810
003451-7,310,2024,6,1,22,Ford,8211,EcoSport STORM 2.0 4WD 16V Flex 5p Aut.,2018,1,G,Gasolina,77760
003269-7,310,2024,6,1,22,Ford,682,EcoSport XLS 1.6/ 1.6 Flex 8V 5p,2009,1,G,Gasolina,30945
003269-7,310,2024,6,1,22,Ford,682,EcoSport XLS 1.6/ 1.6 Flex 8V 5p,2006,1,G,Gasolina,24333
003269-7,310,2024,6,1,22,Ford,682,EcoSport XLS 1.6/ 1.6 Flex 8V 5p,2003,1,G,Gasolina,18494
003320-0,310,2024,6,1,22,Ford,4257,EcoSport XLT 2.0/ 2.0 Flex 16V 5p Aut.,2008,1,G,Gasolina,31911
003030-9,310,2024,6,1,22,Ford,689,Escort GL 1.6i / 1.6,1992,1,G,Gasolina,6258
003031-7,310,2024,6,1,22,Ford,690,Escort GL 1.8i / 1.8,1992,1,G,Gasolina,6535
003028-7,310,2024,6,1,22,Ford,700,Escort L/LX 1.6,1987,1,G,Gasolina,3707
003208-5,310,2024,6,1,22,Ford,705,Escort SW GL 1.6 MPI,2000,1,G,Gasolina,8341
003073-2,310,2024,6,1,22,Ford,716,Explorer XLT 4x2 4.0 V6,1991,1,G,Gasolina,12787
003048-1,310,2024,6,1,22,Ford,727,F-1000 S. S. Diesel / S.S. Diesel Turbo,1991,3,D,Diesel,49597
003124-0,310,2024,6,1,22,Ford,728,F-1000 SR XK  Deserter Diesel,1990,3,D,Diesel,47784
003046-5,310,2024,6,1,22,Ford,732,F-1000 Super Diesel / Super Diesel Turbo,1991,3,D,Diesel,60871
003317-0,310,2024,6,1,22,Ford,4165,F-250 Tropivan/Tropi. Plus 3.9 TB Diesel,2011,3,D,Diesel,196018
003317-0,310,2024,6,1,22,Ford,4165,F-250 Tropivan/Tropi. Plus 3.9 TB Diesel,2010,3,D,Diesel,191236
003317-0,310,2024,6,1,22,Ford,4165,F-250 Tropivan/Tropi. Plus 3.9 TB Diesel,2009,3,D,Diesel,184154
003317-0,310,2024,6,1,22,Ford,4165,F-250 Tropivan/Tropi. Plus 3.9 TB Diesel,2008,3,D,Diesel,157504
003317-0,310,2024,6,1,22,Ford,4165,F-250 Tropivan/Tropi. Plus 3.9 TB Diesel,2007,3,D,Diesel,150426
003115-1,310,2024,6,1,22,Ford,762,F-250 XL 3.9 4x2 Diesel,2011,3,D,Diesel,168496
003115-1,310,2024,6,1,22,Ford,762,F-250 XL 3.9 4x2 Diesel,2010,3,D,Diesel,164387
003115-1,310,2024,6,1,22,Ford,762,F-250 XL 3.9 4x2 Diesel,2009,3,D,Diesel,152622
003115-1,310,2024,6,1,22,Ford,762,F-250 XL 3.9 4x2 Diesel,2008,3,D,Diesel,133946
003115-1,310,2024,6,1,22,Ford,762,F-250 XL 3.9 4x2 Diesel,2007,3,D,Diesel,130211
003115-1,310,2024,6,1,22,Ford,762,F-250 XL 3.9 4x2 Diesel,2000,3,D,Diesel,113640
003115-1,310,2024,6,1,22,Ford,762,F-250 XL 3.9 4x2 Diesel,1999,3,D,Diesel,103021
003115-1,310,2024,6,1,22,Ford,762,F-250 XL 3.9 4x2 Diesel,1998,3,D,Diesel,61146
003390-1,310,2024,6,1,22,Ford,6431,Fiesta TIT./TIT.Plus 1.6 16V Flex Aut.,2013,1,G,Gasolina,38609
003266-2,310,2024,6,1,22,Ford,800,Focus Ghia  2.0 16V/ 2.0 16V Flex 5p Aut,2006,1,G,Gasolina,20898
003226-3,310,2024,6,1,22,Ford,801,Focus Ghia Sed. 2.0 16V/ 2.0 16V Flex 4p,2005,1,G,Gasolina,17802
003284-0,310,2024,6,1,22,Ford,804,Focus Sedan 1.6/1.6 Flex 8V/16V 4p Mec.,2006,1,G,Gasolina,16447
003347-2,310,2024,6,1,22,Ford,5451,Focus TITA/TITA Plus 2.0  Flex 5p Aut.,2014,1,G,Gasolina,49666
003376-6,310,2024,6,1,22,Ford,6324,Fusion Titanium 2.0 GTDI Eco. Awd Aut.,2014,1,G,Gasolina,74193
003018-0,310,2024,6,1,22,Ford,813,Ka 1.0i 3p,2000,1,G,Gasolina,8286
003079-1,310,2024,6,1,22,Ford,829,Mondeo CLX 2.0i SW Mec,1995,1,G,Gasolina,6094
003137-2,310,2024,6,1,22,Ford,843,Pampa Ghia 1.6/1.8/DUO,1991,1,G,Gasolina,8590
003137-2,310,2024,6,1,22,Ford,843,Pampa Ghia 1.6/1.8/DUO,1987,1,G,Gasolina,6226
003057-0,310,2024,6,1,22,Ford,847,Pampa S 1.8,1995,2,Á,Álcool,13964
003057-0,310,2024,6,1,22,Ford,847,Pampa S 1.8,1991,1,G,Gasolina,13433
003237-9,310,2024,6,1,22,Ford,863,Ranger XL 2.3 16v 137cv 4x2 CD Repower.,2007,1,G,Gasolina,41984
003247-6,310,2024,6,1,22,Ford,869,Ranger XL 2.8 8v 135cv 4x2 CS TB Diesel,2006,3,D,Diesel,35984
003247-6,310,2024,6,1,22,Ford,869,Ranger XL 2.8 8v 135cv 4x2 CS TB Diesel,2003,3,D,Diesel,34846
003247-6,310,2024,6,1,22,Ford,869,Ranger XL 2.8 8v 135cv 4x2 CS TB Diesel,2002,3,D,Diesel,32325
003255-7,310,2024,6,1,22,Ford,870,Ranger XL 2.8 8v 135cv 4x4 CD TB Diesel,2006,3,D,Diesel,50100
003255-7,310,2024,6,1,22,Ford,870,Ranger XL 2.8 8v 135cv 4x4 CD TB Diesel,2005,3,D,Diesel,48226
003255-7,310,2024,6,1,22,Ford,870,Ranger XL 2.8 8v 135cv 4x4 CD TB Diesel,2004,3,D,Diesel,44474
003255-7,310,2024,6,1,22,Ford,870,Ranger XL 2.8 8v 135cv 4x4 CD TB Diesel,2003,3,D,Diesel,42406
003255-7,310,2024,6,1,22,Ford,870,Ranger XL 2.8 8v 135cv 4x4 CD TB Diesel,2002,3,D,Diesel,41371
003250-6,310,2024,6,1,22,Ford,871,Ranger XL 2.8 8v 135cv 4x4 CE TB Diesel,2003,3,D,Diesel,42291
003250-6,310,2024,6,1,22,Ford,871,Ranger XL 2.8 8v 135cv 4x4 CE TB Diesel,2002,3,D,Diesel,38783
003248-4,310,2024,6,1,22,Ford,872,Ranger XL 2.8 8v 135cv 4x4 CS TB Diesel,2006,3,D,Diesel,49466
003248-4,310,2024,6,1,22,Ford,872,Ranger XL 2.8 8v 135cv 4x4 CS TB Diesel,2004,3,D,Diesel,43596
003292-1,310,2024,6,1,22,Ford,882,Ranger XLS 3.0 PSE 163cv 4x2 CS TB Dies.,2006,3,D,Diesel,44998
003240-9,310,2024,6,1,22,Ford,896,Ranger XLT 4.0 12v V6 210cv 4x4 CD Repow,2002,1,G,Gasolina,38591
003059-7,310,2024,6,1,22,Ford,905,Royale GL 1.8/1.8i  2p e 4p,1994,1,G,Gasolina,7270
003092-9,310,2024,6,1,22,Ford,909,Taurus L/LX 3.0 V6,1992,1,G,Gasolina,8582
003071-6,310,2024,6,1,22,Ford,923,Versailles GL 2.0i / 2.0 2p e 4p,1993,1,G,Gasolina,10512
004257-9,310,2024,6,1,23,GM - Chevrolet,944,Astra Elite 2.0 MPFI FlexPower 8V 5p Mec,2005,1,G,Gasolina,20884
004329-0,310,2024,6,1,23,GM - Chevrolet,3969,Astra Sed. Advant. 2.0 8V MPFI FlexP. 4p,2007,1,G,Gasolina,25656
004168-8,310,2024,6,1,23,GM - Chevrolet,959,Astra Sedan 2.0/CD/ Expres.GLS 2.0 8V 4p,1999,1,G,Gasolina,15358
004117-3,310,2024,6,1,23,GM - Chevrolet,970,Brasinca Blazer CD 4.1,1990,1,G,Gasolina,15689
004129-7,310,2024,6,1,23,GM - Chevrolet,975,C-20 Custom De Luxe 4.1,1990,1,G,Gasolina,19133
004131-9,310,2024,6,1,23,GM - Chevrolet,976,C-20 Custom De Luxe CD 4.1,1993,1,G,Gasolina,31354
004131-9,310,2024,6,1,23,GM - Chevrolet,976,C-20 Custom De Luxe CD 4.1,1987,1,G,Gasolina,14692
004453-9,310,2024,6,1,23,GM - Chevrolet,6887,Camaro SS Conversível 6.2 V8 16V,2018,1,G,Gasolina,399731
004139-4,310,2024,6,1,23,GM - Chevrolet,990,Cavalier L 2.0,1992,1,G,Gasolina,6982
004319-2,310,2024,6,1,23,GM - Chevrolet,996,Celta Life/ LS 1.0 MPFI 8V FlexPower 5p,2008,1,G,Gasolina,18470
004031-2,310,2024,6,1,23,GM - Chevrolet,1011,Chevy 500 DL / SL / SE/ Furgão 1.6,1993,1,G,Gasolina,11636
004031-2,310,2024,6,1,23,GM - Chevrolet,1011,Chevy 500 DL / SL / SE/ Furgão 1.6,1988,1,G,Gasolina,4818
004031-2,310,2024,6,1,23,GM - Chevrolet,1011,Chevy 500 DL / SL / SE/ Furgão 1.6,1985,1,G,Gasolina,2937
004161-0,310,2024,6,1,23,GM - Chevrolet,1012,Cheynne 4.3 V6,1995,1,G,Gasolina,20563
004161-0,310,2024,6,1,23,GM - Chevrolet,1012,Cheynne 4.3 V6,1994,1,G,Gasolina,18723
004161-0,310,2024,6,1,23,GM - Chevrolet,1012,Cheynne 4.3 V6,1993,1,G,Gasolina,17990
004450-4,310,2024,6,1,23,GM - Chevrolet,6747,Classic ADVANTAGE 1.0 VHC FlexPower 4p,2015,1,G,Gasolina,31938
004450-4,310,2024,6,1,23,GM - Chevrolet,6747,Classic ADVANTAGE 1.0 VHC FlexPower 4p,2014,1,G,Gasolina,28771
004360-5,310,2024,6,1,23,GM - Chevrolet,4924,Classic Life/LS 1.0 VHC FlexP. 4p,2016,1,G,Gasolina,32636
004360-5,310,2024,6,1,23,GM - Chevrolet,4924,Classic Life/LS 1.0 VHC FlexP. 4p,2015,1,G,Gasolina,31840
004360-5,310,2024,6,1,23,GM - Chevrolet,4924,Classic Life/LS 1.0 VHC FlexP. 4p,2014,1,G,Gasolina,28632
